      prop.aneu   prob.meio    prob.mito   dispersal euploid mosaic aneuploid
1    0.95968750 0.636983663 0.2527885044 0.230013208    0.00   0.18      0.82
2    1.00000000 0.372128094 0.7957824324 0.077753467    0.00   0.00      1.00
3    0.94476563 0.599113067 0.2178334235 0.917266236    0.00   0.17      0.83
4    0.99093750 0.202247895 0.4375001602 0.112124820    0.00   0.03      0.97
5    0.99882812 0.308834611 0.5547567890 0.118975382    0.00   0.01      0.99
6    1.00000000 0.968808733 0.6945521720 0.530839893    0.00   0.00      1.00
7    1.00000000 0.860462410 0.8170664269 0.383558935    0.00   0.00      1.00
8    1.00000000 0.451875451 0.7364127606 0.857140654    0.00   0.00      1.00
9    0.89703125 0.129263182 0.2249120299 0.583477361    0.00   0.33      0.67
10   1.00000000 0.182165510 0.8352459113 0.772969831    0.00   0.00      1.00
11   1.00000000 0.495738764 0.8098298716 0.882622635    0.00   0.00      1.00
12   0.99968750 0.669904813 0.5936093638 0.360237634    0.00   0.00      1.00
13   0.85203125 0.749250892 0.0780953185 0.363719233    0.02   0.23      0.75
14   1.00000000 0.694934066 0.7716905237 0.725803646    0.00   0.00      1.00
15   1.00000000 0.192685922 0.9560573869 0.003477050    0.00   0.00      1.00
16   0.98101562 0.541453928 0.3292291081 0.788464864    0.00   0.10      0.90
17   1.00000000 0.009901111 0.8105036865 0.893369705    0.00   0.00      1.00
18   0.99921875 0.687954096 0.5443990275 0.413973401    0.00   0.00      1.00
19   1.00000000 0.997396137 0.6615005890 0.652680312    0.00   0.00      1.00
20   0.99941406 0.933090760 0.4484885368 0.367561310    0.00   0.00      1.00
21   0.99480469 0.148070676 0.4919876354 0.260007404    0.00   0.02      0.98
22   0.99988281 0.063811537 0.6732598480 0.516857677    0.00   0.00      1.00
23   0.99992187 0.940449071 0.6181140014 0.671577594    0.00   0.00      1.00
24   1.00000000 0.490359158 0.7233610968 0.354068619    0.00   0.00      1.00
25   0.99949219 0.922122579 0.5404551874 0.129103644    0.00   0.00      1.00
26   0.65839844 0.202879636 0.0949792564 0.452490062    0.02   0.68      0.30
27   0.99750000 0.776871193 0.4493648524 0.617407547    0.00   0.02      0.98
28   0.95585937 0.377976531 0.2857860716 0.331564548    0.00   0.20      0.80
29   0.98535156 0.532394136 0.3549987907 0.806260649    0.00   0.07      0.93
30   1.00000000 0.689764135 0.8550069004 0.100650906    0.00   0.00      1.00
31   1.00000000 0.322304888 0.7310861747 0.809798977    0.00   0.00      1.00
32   1.00000000 0.841077683 0.8904620830 0.489708226    0.00   0.00      1.00
33   0.99984375 0.247058953 0.6413700206 0.465294108    0.00   0.00      1.00
34   0.99593750 0.218101754 0.4760048618 0.267910364    0.00   0.03      0.97
35   1.00000000 0.545913250 0.8192645300 0.534307220    0.00   0.00      1.00
36   1.00000000 0.881725835 0.7452538428 0.433569182    0.00   0.00      1.00
37   1.00000000 0.931616922 0.5811665305 0.013640218    0.00   0.00      1.00
38   0.96847656 0.798375658 0.2010426824 0.493294758    0.00   0.12      0.88
39   1.00000000 0.022117787 0.7713301247 0.293079437    0.00   0.00      1.00
40   0.98437500 0.710746926 0.2963765073 0.454279438    0.00   0.08      0.92
41   0.99988281 0.975910580 0.5848527916 0.541324718    0.00   0.00      1.00
42   0.99976562 0.967148806 0.4579054613 0.058620075    0.00   0.00      1.00
43   1.00000000 0.828503735 0.7938273742 0.415440307    0.00   0.00      1.00
44   1.00000000 0.764842223 0.7730796102 0.063002272    0.00   0.00      1.00
45   0.99914063 0.989553963 0.2511742075 0.686394312    0.00   0.01      0.99
46   0.99437500 0.197055736 0.4492400808 0.714683808    0.00   0.02      0.98
47   1.00000000 0.682552511 0.9208941830 0.980783260    0.00   0.00      1.00
48   0.99992187 0.682612194 0.6687705787 0.256806703    0.00   0.00      1.00
49   0.86453125 0.073147004 0.2172688784 0.380891949    0.00   0.46      0.54
