     prop.aneu   prob.meio   prob.mito   dispersal euploid mosaic aneuploid
1    0.9977734 0.333089680 0.521390912 0.884456971    0.00   0.00      1.00
2    0.9998438 0.009817485 0.634027087 0.745622831    0.00   0.00      1.00
3    1.0000000 0.570385015 0.663285557 0.439029555    0.00   0.00      1.00
4    0.9076953 0.667801979 0.152787494 0.344503228    0.00   0.24      0.76
5    0.9406250 0.314942160 0.270545870 0.263267718    0.00   0.25      0.75
6    0.9282031 0.161446034 0.273710061 0.516350398    0.00   0.28      0.72
7    0.9988672 0.500319864 0.529257092 0.568257158    0.00   0.01      0.99
8    1.0000000 0.325032338 0.969517449 0.240963858    0.00   0.00      1.00
9    1.0000000 0.122468288 0.772501762 0.837115208    0.00   0.00      1.00
10   0.9649219 0.459775800 0.278347577 0.745038136    0.00   0.10      0.90
11   0.9887500 0.619834638 0.345222454 0.143820724    0.00   0.07      0.93
12   0.9876563 0.874945523 0.261848030 0.963650226    0.00   0.10      0.90
13   0.8458203 0.470547515 0.155243455 0.198369435    0.01   0.46      0.53
14   0.9807813 0.280514734 0.349686056 0.478651916    0.00   0.09      0.91
15   0.9842188 0.037747709 0.423498575 0.680375248    0.00   0.05      0.95
16   0.5648047 0.390879792 0.054877111 0.186833800    0.18   0.44      0.38
17   0.8900000 0.497796700 0.170571222 0.434681557    0.00   0.33      0.67
18   1.0000000 0.846243920 0.768762569 0.535985944    0.00   0.00      1.00
19   0.9999609 0.647834372 0.703071038 0.537331150    0.00   0.00      1.00
20   1.0000000 0.724896848 0.847439880 0.494902058    0.00   0.00      1.00
21   0.9996484 0.255716073 0.592744462 0.842108942    0.00   0.00      1.00
22   0.7754297 0.240784524 0.143907020 0.911499660    0.00   0.58      0.42
23   0.8197266 0.475832301 0.117201196 0.143073746    0.03   0.34      0.63
24   0.8876172 0.766586438 0.114736828 0.195947188    0.00   0.25      0.75
25   0.7838281 0.575982546 0.065648623 0.974905788    0.00   0.35      0.65
26   0.9999609 0.647720412 0.587468690 0.793944332    0.00   0.00      1.00
27   1.0000000 0.787010474 0.965854430 0.170916741    0.00   0.00      1.00
28   0.9401172 0.479874619 0.222665133 0.699925267    0.00   0.23      0.77
29   0.4096094 0.154047443 0.039213641 0.115975308    0.33   0.44      0.23
30   0.9996875 0.340438968 0.587888933 0.535766296    0.00   0.00      1.00
31   1.0000000 0.784813588 0.701642763 0.130256340    0.00   0.00      1.00
32   1.0000000 0.221277439 0.985832040 0.385894621    0.00   0.00      1.00
33   0.9999219 0.444732227 0.703932948 0.690218289    0.00   0.00      1.00
34   0.9843750 0.055785631 0.414378392 0.099792985    0.00   0.08      0.92
35   1.0000000 0.843067554 0.830146094 0.827067220    0.00   0.00      1.00
36   1.0000000 0.666931731 0.681983582 0.531650116    0.00   0.00      1.00
37   1.0000000 0.609190858 0.898937508 0.707292480    0.00   0.00      1.00
38   0.9983594 0.220450731 0.540145856 0.013778015    0.00   0.00      1.00
39   1.0000000 0.219464795 0.805373590 0.169991501    0.00   0.00      1.00
40   0.9512891 0.695440247 0.206175611 0.941172407    0.00   0.17      0.83
41   1.0000000 0.498179515 0.863281191 0.582658453    0.00   0.00      1.00
42   1.0000000 0.125769803 0.941258389 0.486900251    0.00   0.00      1.00
43   0.9870703 0.706181314 0.328560659 0.715284194    0.00   0.05      0.95
44   0.9941016 0.138874972 0.467705296 0.948875827    0.00   0.06      0.94
45   1.0000000 0.322834671 0.813985209 0.365344670    0.00   0.00      1.00
46   1.0000000 0.515463840 0.828193696 0.582948604    0.00   0.00      1.00
47   0.9999609 0.404946392 0.756821064 0.646471853    0.00   0.00      1.00
48   1.0000000 0.917402167 0.640440234 0.798275450    0.00   0.00      1.00
49   0.9623438 0.949168676 0.017143203 0.570491600    0.01   0.03      0.96
50   0.9950391 0.972704903 0.248192748 0.598121029    0.00   0.02      0.98
51   0.7080469 0.547643609 0.068606695 0.134761990    0.13   0.33      0.54
52   0.9814844 0.844065862 0.207654835 0.883572129    0.00   0.06      0.94
53   0.8812500 0.616177659 0.103827877 0.923984355    0.00   0.26      0.74
54   1.0000000 0.375982759 0.839030260 0.636545900    0.00   0.00      1.00
55   0.9877734 0.450441078 0.382251248 0.418157207    0.00   0.08      0.92
56   0.9722656 0.631226696 0.287370112 0.102056009    0.00   0.14      0.86
57   0.9839453 0.789583009 0.285905713 0.152033167    0.00   0.04      0.96
58   0.9342187 0.323881533 0.244064602 0.070487458    0.00   0.28      0.72
59   0.9310156 0.348494241 0.240609185 0.511467023    0.00   0.22      0.78
60   0.9994141 0.779644815 0.520091485 0.146063238    0.00   0.00      1.00
61   0.9997656 0.210842699 0.648873639 0.215419188    0.00   0.00      1.00
62   1.0000000 0.682076684 0.840580232 0.170264167    0.00   0.00      1.00
63   0.9999609 0.834708510 0.662139479 0.298985036    0.00   0.00      1.00
