     prop.aneu   prob.meio   prob.mito    dispersal euploid mosaic aneuploid
1    1.0000000 0.030513343 0.938405257 0.8637484706    0.00   0.00      1.00
2    0.9965625 0.223807549 0.467394060 0.9416043514    0.00   0.01      0.99
3    0.6535156 0.203302049 0.089328093 0.5103282880    0.02   0.67      0.31
4    1.0000000 0.130406319 0.919912094 0.0506682131    0.00   0.00      1.00
5    0.9858984 0.313573413 0.372089815 0.4537132881    0.00   0.08      0.92
6    0.9669141 0.708425618 0.244334966 0.5075840310    0.00   0.12      0.88
7    0.9944922 0.398414398 0.453289371 0.0757263065    0.00   0.02      0.98
8    0.9942969 0.648642260 0.412248369 0.2392733963    0.00   0.04      0.96
9    0.9446094 0.798187988 0.186569645 0.7363005665    0.00   0.18      0.82
10   1.0000000 0.766449870 0.906382743 0.3611137175    0.00   0.00      1.00
11   0.9817578 0.257410864 0.385984286 0.4572127536    0.00   0.06      0.94
12   1.0000000 0.392985531 0.942785452 0.1439559464    0.00   0.00      1.00
13   0.9970703 0.735739742 0.430053592 0.3123582525    0.00   0.01      0.99
14   0.9999219 0.757499316 0.678537661 0.5978899659    0.00   0.00      1.00
15   0.9885938 0.188007245 0.393783859 0.8724886144    0.00   0.04      0.96
16   0.8887109 0.832370684 0.080417987 0.8394937753    0.03   0.17      0.80
17   0.9971094 0.265287080 0.494586059 0.9039672071    0.00   0.01      0.99
18   0.6960547 0.003846755 0.133285456 0.7242023339    0.00   0.77      0.23
19   1.0000000 0.976411165 0.527045595 0.7457385978    0.00   0.00      1.00
20   0.9939453 0.620894469 0.406417823 0.8660042346    0.00   0.03      0.97
21   0.9346875 0.739012641 0.170404103 0.7560671805    0.00   0.19      0.81
22   1.0000000 0.984875765 0.701851374 0.0897108489    0.00   0.00      1.00
23   0.4358984 0.356634428 0.021363269 0.8920925842    0.32   0.34      0.34
24   1.0000000 0.960721781 0.883473728 0.4183827648    0.00   0.00      1.00
25   1.0000000 0.987813509 0.971965639 0.9892546944    0.00   0.00      1.00
26   1.0000000 0.892220093 0.685588153 0.8037145513    0.00   0.00      1.00
27   1.0000000 0.939168050 0.609101288 0.4727804924    0.00   0.00      1.00
28   0.8566406 0.326942659 0.177923556 0.3004140928    0.00   0.38      0.62
29   0.4339062 0.410504982 0.012058288 0.8638710354    0.42   0.20      0.38
30   1.0000000 0.049385236 0.753946414 0.7966303113    0.00   0.00      1.00
31   0.9915625 0.518254799 0.403917883 0.0580398003    0.00   0.06      0.94
32   0.9957031 0.899119959 0.362209818 0.3453333543    0.00   0.02      0.98
33   1.0000000 0.754233084 0.717682256 0.4713667096    0.00   0.00      1.00
34   0.8277734 0.220481942 0.160682141 0.0245409433    0.07   0.37      0.56
35   1.0000000 0.398422280 0.929347956 0.5626093911    0.00   0.00      1.00
36   0.9997656 0.018444983 0.654294977 0.0719504314    0.00   0.00      1.00
37   1.0000000 0.816513383 0.902595804 0.4528011612    0.00   0.00      1.00
38   0.9698047 0.355125630 0.326190430 0.5658678540    0.00   0.12      0.88
39   1.0000000 0.676138964 0.698418834 0.9333384319    0.00   0.00      1.00
40   1.0000000 0.057245759 0.949829881 0.0014716671    0.00   0.00      1.00
41   0.2833594 0.292134683 0.019561787 0.8204590746    0.39   0.42      0.19
42   1.0000000 0.213862499 0.981143119 0.0149387075    0.00   0.00      1.00
