     prop.aneu    prob.meio    prob.mito    dispersal euploid mosaic aneuploid
1    1.0000000 0.4551738121 7.859910e-01 7.422880e-01    0.00   0.00      1.00
2    0.9878125 0.2840442585 3.931029e-01 5.277185e-01    0.00   0.05      0.95
3    1.0000000 0.5682534359 8.414880e-01 1.733800e-01    0.00   0.00      1.00
4    0.9994141 0.8674421669 5.777535e-01 3.501083e-01    0.00   0.00      1.00
5    0.9448047 0.9601724108 4.146335e-02 1.229043e-01    0.04   0.03      0.93
6    1.0000000 0.7295694542 7.048073e-01 1.634295e-01    0.00   0.00      1.00
7    0.8431250 0.5447470592 1.256931e-01 5.942777e-01    0.01   0.32      0.67
8    1.0000000 0.2858814651 9.527977e-01 2.792839e-01    0.00   0.00      1.00
9    0.9966797 0.9212372485 3.952055e-01 4.644893e-01    0.00   0.03      0.97
10   1.0000000 0.6643571027 7.755243e-01 2.272135e-01    0.00   0.00      1.00
11   0.9808203 0.0508026551 3.836993e-01 3.863399e-01    0.00   0.11      0.89
12   0.9345313 0.2535206352 2.625235e-01 1.151691e-01    0.00   0.29      0.71
13   0.9970313 0.4923166984 4.614829e-01 5.756483e-01    0.00   0.00      1.00
14   0.9997656 0.1696094628 6.760057e-01 9.960422e-01    0.00   0.00      1.00
15   1.0000000 0.6542391297 8.170710e-01 5.486253e-01    0.00   0.00      1.00
16   0.7115234 0.2540063222 1.136604e-01 2.684717e-01    0.01   0.55      0.44
17   0.4097656 0.2674792558 1.861719e-02 5.134406e-01    0.42   0.26      0.32
18   0.9682812 0.1043391370 3.511186e-01 1.932535e-01    0.00   0.14      0.86
19   1.0000000 0.9936426689 3.854040e-01 3.559081e-01    0.00   0.00      1.00
20   0.9976172 0.9442789655 3.328112e-01 9.492319e-01    0.00   0.02      0.98
21   1.0000000 0.9971394220 4.169603e-01 7.228372e-01    0.00   0.00      1.00
22   0.8535938 0.3986640293 1.658477e-01 3.294514e-01    0.00   0.40      0.60
23   0.7439062 0.6566449951 2.002139e-02 8.117058e-02    0.26   0.03      0.71
24   0.9743750 0.2381632142 3.466583e-01 2.324565e-01    0.00   0.14      0.86
25   0.9999609 0.8039391001 6.101600e-01 4.569216e-01    0.00   0.00      1.00
26   0.9420312 0.6065105938 1.822492e-01 9.960960e-01    0.00   0.21      0.79
27   0.9966797 0.6481465793 4.375385e-01 3.743762e-02    0.00   0.03      0.97
28   0.8708594 0.7872420333 8.837311e-02 9.232652e-01    0.00   0.26      0.74
29   0.9782031 0.3733006539 3.492037e-01 9.534834e-01    0.00   0.11      0.89
30   1.0000000 0.8339404219 7.295579e-01 3.968188e-01    0.00   0.00      1.00
31   1.0000000 0.6330115506 8.750207e-01 3.201501e-01    0.00   0.00      1.00
32   0.2718359 0.2803276491 5.803990e-03 6.329178e-01    0.66   0.10      0.24
