     prop.aneu   prob.meio    prob.mito   dispersal euploid mosaic aneuploid
1    1.0000000 0.640382622 0.9419485764 0.168478684    0.00   0.00      1.00
2    1.0000000 0.553103161 0.9029895060 0.442179810    0.00   0.00      1.00
3    0.9631641 0.238957416 0.3099140103 0.975844993    0.00   0.12      0.88
4    1.0000000 0.363437402 0.6613581420 0.155866662    0.00   0.00      1.00
5    0.9983203 0.487936347 0.5005505790 0.125073141    0.00   0.02      0.98
6    1.0000000 0.529214109 0.7337254372 0.888207217    0.00   0.00      1.00
7    0.9996484 0.444492707 0.6145814059 0.180553044    0.00   0.00      1.00
8    0.6810547 0.584027160 0.0487446939 0.392934177    0.11   0.34      0.55
9    0.9874219 0.345210649 0.3807660034 0.040049124    0.00   0.05      0.95
10   0.9725000 0.021567288 0.3448673878 0.657818137    0.00   0.16      0.84
11   0.4833203 0.397841329 0.0355700890 0.889179758    0.25   0.41      0.34
12   0.9989453 0.428162618 0.5542856273 0.234130041    0.00   0.00      1.00
13   0.8638672 0.750123620 0.0702866924 0.113488710    0.07   0.12      0.81
14   1.0000000 0.266364787 0.7675841188 0.971889356    0.00   0.00      1.00
15   1.0000000 0.995846434 0.7436558024 0.043316540    0.00   0.00      1.00
16   1.0000000 0.496027888 0.8554138264 0.122024869    0.00   0.00      1.00
17   0.9658594 0.081247381 0.3430926262 0.250383734    0.00   0.10      0.90
18   0.6827734 0.624165499 0.0098532068 0.222522356    0.27   0.08      0.65
19   0.9998828 0.755424822 0.5779471328 0.713556656    0.00   0.00      1.00
20   1.0000000 0.833631547 0.6929594672 0.735976657    0.00   0.00      1.00
21   0.9916797 0.285797908 0.4342110176 0.454833132    0.00   0.06      0.94
22   0.9999609 0.924112698 0.5887359355 0.101531119    0.00   0.00      1.00
23   1.0000000 0.809712050 0.9532031147 0.355313795    0.00   0.00      1.00
24   1.0000000 0.739916457 0.6370378670 0.911214640    0.00   0.00      1.00
25   1.0000000 0.914339877 0.9633596605 0.213648002    0.00   0.00      1.00
26   0.9923828 0.403515481 0.4164937295 0.964995217    0.00   0.04      0.96
27   0.9988672 0.191176307 0.5362792821 0.903797699    0.00   0.00      1.00
28   0.9999609 0.194014207 0.7444440369 0.177576648    0.00   0.00      1.00
29   1.0000000 0.429380103 0.8621070855 0.924909071    0.00   0.00      1.00
30   0.9992578 0.140648274 0.6239132131 0.544191427    0.00   0.00      1.00
31   1.0000000 0.811482870 0.8704220406 0.992164842    0.00   0.00      1.00
32   0.7871094 0.706479804 0.0343783207 0.856517482    0.07   0.23      0.70
33   1.0000000 0.215923818 0.9483488302 0.677596764    0.00   0.00      1.00
34   0.8059766 0.508575808 0.0878706519 0.011599708    0.10   0.25      0.65
35   0.8837109 0.229138178 0.2004523179 0.120814986    0.00   0.42      0.58
36   1.0000000 0.268101112 0.8271659371 0.303054124    0.00   0.00      1.00
37   0.9994141 0.539932681 0.5348213359 0.152641167    0.00   0.01      0.99
38   0.9989453 0.166965301 0.5758776190 0.325387870    0.00   0.01      0.99
39   1.0000000 0.908101393 0.8211762335 0.718088824    0.00   0.00      1.00
40   1.0000000 0.988162725 0.8565836765 0.953135923    0.00   0.00      1.00
41   0.9993359 0.514589845 0.5581761086 0.447636972    0.00   0.00      1.00
42   0.9998438 0.087776368 0.6555824592 0.861099162    0.00   0.00      1.00
43   1.0000000 0.886891979 0.7764398623 0.213161448    0.00   0.00      1.00
44   0.7960547 0.822693252 0.0141041586 0.778379230    0.16   0.06      0.78
45   1.0000000 0.529343757 0.8652930197 0.168093357    0.00   0.00      1.00
46   0.9976953 0.528453622 0.4755746576 0.821306746    0.00   0.01      0.99
47   0.9998828 0.153786067 0.6436372469 0.174579564    0.00   0.00      1.00
48   1.0000000 0.032595729 0.9356107085 0.459506136    0.00   0.00      1.00
49   0.9722266 0.696313891 0.2251485095 0.015256714    0.00   0.14      0.86
50   0.6429297 0.395614775 0.0692255343 0.434284713    0.05   0.55      0.40
51   0.7979688 0.708026998 0.0411088169 0.880853008    0.05   0.23      0.72
52   0.9762109 0.655996280 0.2229058701 0.702122290    0.00   0.10      0.90
53   0.9973828 0.546467174 0.4764762684 0.744047739    0.00   0.01      0.99
54   1.0000000 0.998612469 0.6879668038 0.722663997    0.00   0.00      1.00
55   1.0000000 0.521160161 0.8321646687 0.576128098    0.00   0.00      1.00
56   0.9991797 0.949284651 0.3863476866 0.225746983    0.00   0.02      0.98
57   0.8990625 0.460312454 0.1820365589 0.091462249    0.01   0.29      0.70
58   0.9975391 0.888223893 0.4016995532 0.787888031    0.00   0.00      1.00
59   0.9991797 0.775658489 0.5356409736 0.315278656    0.00   0.00      1.00
60   0.9998828 0.333532726 0.6828547271 0.689926001    0.00   0.00      1.00
61   0.8916016 0.759424404 0.0939518735 0.526970824    0.01   0.19      0.80
62   1.0000000 0.730889017 0.7815733259 0.817955742    0.00   0.00      1.00
63   0.9997656 0.720549481 0.5905235084 0.299369287    0.00   0.00      1.00
64   0.9999609 0.957461353 0.5653611615 0.156940403    0.00   0.00      1.00
65   1.0000000 0.368010270 0.8896454303 0.545473489    0.00   0.00      1.00
66   1.0000000 0.864004862 0.8257864360 0.023479652    0.00   0.00      1.00
67   0.9990234 0.458306530 0.5607269071 0.852620249    0.00   0.01      0.99
68   1.0000000 0.612618798 0.9927000299 0.842712159    0.00   0.00      1.00
69   0.9998828 0.172943434 0.6936480510 0.639988174    0.00   0.00      1.00
70   0.9905078 0.605295186 0.3681043915 0.681525362    0.00   0.08      0.92
71   1.0000000 0.530940683 0.9596332675 0.358060495    0.00   0.00      1.00
72   1.0000000 0.754010140 0.9065133743 0.358581234    0.00   0.00      1.00
73   0.9999609 0.895594094 0.5575363450 0.594250026    0.00   0.00      1.00
74   0.9993750 0.224295079 0.5700551241 0.985911541    0.00   0.01      0.99
75   0.9980859 0.730868120 0.4710368661 0.772226013    0.00   0.02      0.98
76   1.0000000 0.949323843 0.6419918651 0.003738954    0.00   0.00      1.00
77   0.6111719 0.117814709 0.0989138370 0.812705326    0.00   0.77      0.23
78   0.9927344 0.819830506 0.3594303620 0.329447866    0.00   0.02      0.98
79   0.9485156 0.100185689 0.3089077503 0.499788578    0.00   0.26      0.74
80   1.0000000 0.370248144 0.8935307313 0.990568480    0.00   0.00      1.00
81   0.9114062 0.734170625 0.1247643575 0.900574996    0.00   0.23      0.77
82   1.0000000 0.454241221 0.8583347192 0.158497588    0.00   0.00      1.00
83   0.9473438 0.720200492 0.1846997177 0.837083151    0.00   0.13      0.87
84   0.8158594 0.343921138 0.1410339728 0.077285697    0.04   0.43      0.53
85   1.0000000 0.887989036 0.9954564204 0.174964060    0.00   0.00      1.00
86   1.0000000 0.819233662 0.6797276037 0.178754714    0.00   0.00      1.00
87   0.9976563 0.155324252 0.5205618544 0.237718753    0.00   0.01      0.99
88   0.6763281 0.092968183 0.1259824145 0.673359150    0.00   0.81      0.19
89   0.9129687 0.002825965 0.2541683097 0.368457426    0.00   0.32      0.68
90   0.9964453 0.139028290 0.4958173584 0.200123726    0.00   0.01      0.99
91   1.0000000 0.949398750 0.6580834608 0.313071836    0.00   0.00      1.00
92   0.9989453 0.176320369 0.5678351880 0.392250008    0.00   0.00      1.00
93   0.9985156 0.179533833 0.5372696500 0.155490956    0.00   0.00      1.00
94   0.9367969 0.546179419 0.2310118419 0.164051912    0.00   0.24      0.76
95   1.0000000 0.198957301 0.9868363298 0.736517232    0.00   0.00      1.00
96   0.9841797 0.201163599 0.3878480780 0.712073097    0.00   0.06      0.94
97   0.7246875 0.364792309 0.1165676890 0.031285201    0.12   0.35      0.53
98   1.0000000 0.158954988 0.7475002564 0.007958313    0.00   0.00      1.00
99   0.9985937 0.499189086 0.5034661554 0.386964874    0.00   0.01      0.99
100  0.6921094 0.153154829 0.1281794820 0.517266848    0.00   0.69      0.31
101  0.9997656 0.402142354 0.6000902739 0.493891120    0.00   0.00      1.00
102  1.0000000 0.598841003 0.7356706588 0.984109947    0.00   0.00      1.00
103  1.0000000 0.678941554 0.7714280481 0.780513340    0.00   0.00      1.00
104  0.9998438 0.609213288 0.6080080501 0.277092933    0.00   0.00      1.00
105  0.9999219 0.016626066 0.7121020621 0.027132728    0.00   0.00      1.00
106  0.9863281 0.259963008 0.3942325888 0.129213510    0.00   0.10      0.90
107  1.0000000 0.994204580 0.8492364739 0.152463134    0.00   0.00      1.00
108  0.9998438 0.927562626 0.5273064901 0.084837357    0.00   0.00      1.00
109  0.9987500 0.495387587 0.5168796962 0.110973000    0.00   0.02      0.98
110  0.8184375 0.396967158 0.1335555557 0.302837171    0.00   0.47      0.53
111  1.0000000 0.406310584 0.6618929047 0.131404001    0.00   0.00      1.00
112  0.9487109 0.153710867 0.2946337161 0.634738134    0.00   0.25      0.75
113  1.0000000 0.772569538 0.6475682950 0.915160064    0.00   0.00      1.00
114  0.9999219 0.028092493 0.6935718488 0.080542197    0.00   0.00      1.00
115  0.9993750 0.237113265 0.5693739660 0.544306148    0.00   0.02      0.98
116  0.9542578 0.591455048 0.2308596333 0.342979059    0.00   0.14      0.86
117  1.0000000 0.873325470 0.8117912700 0.901216067    0.00   0.00      1.00
118  0.9567969 0.724713980 0.1882172385 0.151240592    0.00   0.14      0.86
119  0.9456641 0.375675225 0.2730065275 0.643965122    0.00   0.16      0.84
120  1.0000000 0.439607858 0.9060086873 0.227224593    0.00   0.00      1.00
121  1.0000000 0.626390542 0.9517483693 0.870660533    0.00   0.00      1.00
122  1.0000000 0.761184370 0.7039856683 0.267138982    0.00   0.00      1.00
123  0.9998438 0.089916440 0.6914726370 0.036972021    0.00   0.00      1.00
124  0.9953125 0.869734776 0.2552567315 0.133467461    0.00   0.03      0.97
125  0.9468750 0.912169985 0.1239331067 0.401473057    0.00   0.10      0.90
126  1.0000000 0.335287726 0.8133718590 0.327281547    0.00   0.00      1.00
127  0.1434375 0.038049328 0.0166259636 0.854469046    0.43   0.56      0.01
128  1.0000000 0.928494011 0.9577234192 0.150560793    0.00   0.00      1.00
129  0.9501953 0.918832827 0.0367752789 0.375358997    0.04   0.03      0.93
130  1.0000000 0.036378530 0.8593051704 0.438898971    0.00   0.00      1.00
131  0.9998438 0.135389328 0.6420668045 0.077256634    0.00   0.00      1.00
132  0.9999609 0.503332343 0.7152586426 0.352797996    0.00   0.00      1.00
133  1.0000000 0.478301833 0.8076554707 0.985656085    0.00   0.00      1.00
134  1.0000000 0.551694294 0.9812207301 0.060198375    0.00   0.00      1.00
135  1.0000000 0.474102036 0.7923097424 0.818552356    0.00   0.00      1.00
136  0.9998438 0.145547139 0.6999771534 0.598238219    0.00   0.00      1.00
137  0.9988672 0.168467728 0.5488581250 0.650266867    0.00   0.00      1.00
138  1.0000000 0.628638826 0.6975121747 0.387489815    0.00   0.00      1.00
139  0.9803906 0.540858050 0.3148138179 0.538744705    0.00   0.05      0.95
140  1.0000000 0.176933157 0.7580351830 0.471445011    0.00   0.00      1.00
141  0.9992578 0.270456846 0.5732378694 0.322606516    0.00   0.00      1.00
142  0.7003516 0.539328881 0.0566438900 0.162735700    0.12   0.35      0.53
143  0.9927734 0.501350762 0.4273230375 0.489573176    0.00   0.03      0.97
144  0.5726953 0.146531652 0.0805768273 0.185270374    0.17   0.58      0.25
145  1.0000000 0.516248226 0.9062706733 0.448962750    0.00   0.00      1.00
146  0.8693750 0.841710169 0.0401574483 0.542492483    0.07   0.10      0.83
147  1.0000000 0.114343820 0.8930314439 0.221897570    0.00   0.00      1.00
148  0.9987500 0.677583017 0.4823120397 0.873283335    0.00   0.01      0.99
149  0.9992969 0.806301070 0.4785529878 0.229199115    0.00   0.00      1.00
150  0.9981250 0.385138363 0.5314940652 0.653019131    0.00   0.02      0.98
151  0.7701172 0.353588232 0.1208787411 0.743794624    0.00   0.56      0.44
152  0.9993750 0.527568882 0.5818482540 0.683702225    0.00   0.00      1.00
153  0.9994531 0.186638874 0.5976269569 0.882530482    0.00   0.00      1.00
154  1.0000000 0.956801540 0.9085405681 0.264855369    0.00   0.00      1.00
155  0.9994922 0.531904132 0.5526105475 0.066519087    0.00   0.00      1.00
156  0.6687109 0.224917724 0.1093283144 0.794476643    0.02   0.69      0.29
157  1.0000000 0.973556300 0.4996136127 0.487694253    0.00   0.00      1.00
158  0.8078516 0.484943142 0.1217361039 0.711251665    0.00   0.43      0.57
159  1.0000000 0.175121614 0.8000451196 0.990546616    0.00   0.00      1.00
160  1.0000000 0.852196960 0.7638368316 0.638255690    0.00   0.00      1.00
161  0.9922656 0.441233967 0.4085134009 0.902592016    0.00   0.02      0.98
162  1.0000000 0.341977245 0.9716634043 0.629181807    0.00   0.00      1.00
163  0.5796094 0.562978563 0.0129234651 0.708487442    0.36   0.09      0.55
164  0.9903516 0.644912886 0.3296722735 0.794626700    0.00   0.04      0.96
165  0.9932031 0.748165277 0.3781937391 0.866253960    0.00   0.04      0.96
166  0.9844141 0.047465636 0.3987344836 0.026061641    0.00   0.05      0.95
167  0.6199609 0.240536507 0.0807099156 0.850112435    0.04   0.67      0.29
168  0.3606250 0.173416674 0.0356221776 0.737554072    0.28   0.57      0.15
169  0.9992969 0.283992663 0.5314087986 0.313844196    0.00   0.01      0.99
170  0.9135156 0.575332485 0.1886732713 0.779188195    0.00   0.27      0.73
171  0.9901172 0.535068889 0.3931462530 0.884668902    0.00   0.05      0.95
172  0.9776953 0.049473997 0.3863381774 0.884816249    0.00   0.12      0.88
173  0.9995703 0.541204140 0.5302708473 0.359626099    0.00   0.00      1.00
174  0.9900000 0.011335286 0.4396339701 0.648403621    0.00   0.08      0.92
175  1.0000000 0.330974666 0.9822585378 0.136607245    0.00   0.00      1.00
176  0.8329297 0.428908315 0.1453511608 0.475785165    0.00   0.42      0.58
177  1.0000000 0.621994853 0.8092669211 0.205121210    0.00   0.00      1.00
178  0.9928906 0.756362789 0.3248421436 0.816120614    0.00   0.01      0.99
179  0.9979297 0.966030542 0.3471266353 0.560692557    0.00   0.01      0.99
180  0.9769531 0.080469983 0.3601376940 0.747434116    0.00   0.12      0.88
181  0.9998828 0.371626441 0.7234916058 0.935364441    0.00   0.00      1.00
182  0.9903125 0.961676755 0.0113272178 0.740304125    0.01   0.00      0.99
183  0.9806641 0.707498813 0.2748132036 0.627009833    0.00   0.10      0.90
184  0.8661328 0.792890226 0.0528812953 0.533204228    0.02   0.18      0.80
185  1.0000000 0.767518787 0.9679085398 0.395575016    0.00   0.00      1.00
186  0.9833203 0.922036963 0.1542202821 0.324795922    0.00   0.06      0.94
187  0.9993359 0.476667787 0.5853208390 0.702917432    0.00   0.00      1.00
188  0.9998438 0.159533924 0.7149360275 0.126316790    0.00   0.00      1.00
189  1.0000000 0.027745878 0.8768543410 0.730506808    0.00   0.00      1.00
190  0.8503125 0.076551625 0.2062269514 0.933087095    0.00   0.49      0.51
191  0.5882422 0.074742972 0.0931563475 0.040976589    0.07   0.60      0.33
192  1.0000000 0.764589646 0.9546451853 0.311485848    0.00   0.00      1.00
193  1.0000000 0.272674904 0.9909701515 0.601453365    0.00   0.00      1.00
194  0.9999219 0.536640578 0.6486790471 0.562199866    0.00   0.00      1.00
195  1.0000000 0.516771248 0.9010941952 0.616393989    0.00   0.00      1.00
196  0.9327734 0.538315269 0.2472898935 0.176979233    0.00   0.20      0.80
197  0.9997656 0.861465169 0.5207513664 0.776485986    0.00   0.00      1.00
198  0.9999219 0.356904428 0.7162935708 0.916474672    0.00   0.00      1.00
199  1.0000000 0.949807002 0.9877156748 0.383594735    0.00   0.00      1.00
200  0.9998438 0.287182217 0.6546103132 0.995712920    0.00   0.00      1.00
201  0.9690234 0.814868393 0.1922777472 0.019689662    0.00   0.08      0.92
202  1.0000000 0.455993727 0.7377468760 0.392476784    0.00   0.00      1.00
203  0.9620313 0.706060778 0.1993770164 0.758177198    0.00   0.07      0.93
204  0.9996875 0.118562421 0.6354096001 0.102850919    0.00   0.01      0.99
205  1.0000000 0.351107901 0.9352717851 0.283863214    0.00   0.00      1.00
206  1.0000000 0.813949639 0.6478835165 0.046305651    0.00   0.00      1.00
207  0.9169531 0.013513436 0.2514850774 0.527805967    0.00   0.34      0.66
208  1.0000000 0.149267771 0.9737280258 0.300725102    0.00   0.00      1.00
209  0.9998438 0.553463429 0.6423726650 0.521857151    0.00   0.00      1.00
210  1.0000000 0.943457296 0.8017916295 0.093901610    0.00   0.00      1.00
211  0.7133984 0.349254585 0.1005430452 0.652209084    0.01   0.56      0.43
212  0.8355078 0.264740882 0.1803369122 0.437542729    0.00   0.47      0.53
213  0.9948828 0.445096114 0.4369962402 0.625714159    0.00   0.02      0.98
214  0.9956250 0.080134179 0.4927972569 0.840961970    0.00   0.04      0.96
215  0.9925781 0.095884372 0.4168216095 0.375420587    0.00   0.05      0.95
216  1.0000000 0.995338821 0.8438977634 0.051846081    0.00   0.00      1.00
217  0.9517578 0.610010593 0.2581554281 0.311563103    0.00   0.18      0.82
218  1.0000000 0.170532167 0.8476927355 0.861625328    0.00   0.00      1.00
219  0.9979687 0.756930972 0.4400443027 0.879540740    0.00   0.00      1.00
220  1.0000000 0.222823914 0.8501004942 0.203099854    0.00   0.00      1.00
