      prop.aneu   prob.meio   prob.mito   dispersal euploid mosaic aneuploid
1    0.90074219 0.589949487 0.154987556 0.601001367    0.00   0.25      0.75
2    1.00000000 0.777627893 0.761311358 0.017391998    0.00   0.00      1.00
3    1.00000000 0.193912222 0.879708036 0.445484920    0.00   0.00      1.00
4    0.60542969 0.533935503 0.015873071 0.542428275    0.19   0.28      0.53
5    0.95421875 0.785143696 0.164856571 0.595414210    0.00   0.13      0.87
6    1.00000000 0.772176554 0.934546269 0.829611941    0.00   0.00      1.00
7    1.00000000 0.421599954 0.991765139 0.601696851    0.00   0.00      1.00
8    0.90207031 0.472474842 0.200126580 0.291876082    0.00   0.36      0.64
9    1.00000000 0.967638460 0.766301658 0.652222612    0.00   0.00      1.00
10   0.99949219 0.688851532 0.576385556 0.264667613    0.00   0.00      1.00
11   0.99968750 0.182306620 0.636408605 0.981383395    0.00   0.00      1.00
12   0.98843750 0.760808806 0.313025487 0.592686839    0.00   0.04      0.96
13   1.00000000 0.815827931 0.971008570 0.235284590    0.00   0.00      1.00
14   0.99996094 0.927394013 0.658012961 0.592735993    0.00   0.00      1.00
15   1.00000000 0.351249279 0.974665894 0.320768178    0.00   0.00      1.00
16   0.99589844 0.299863316 0.458659620 0.272769505    0.00   0.00      1.00
17   1.00000000 0.028169441 0.988868373 0.853088917    0.00   0.00      1.00
18   0.99964844 0.932802828 0.492332803 0.492892823    0.00   0.00      1.00
19   0.99742188 0.104507871 0.506886059 0.154418655    0.00   0.01      0.99
20   0.99933594 0.720447201 0.501785078 0.902725731    0.00   0.00      1.00
21   0.98695312 0.726985365 0.320468693 0.327077101    0.00   0.06      0.94
22   1.00000000 0.941097266 0.466489703 0.217883443    0.00   0.00      1.00
23   0.95089844 0.207636722 0.280885897 0.987778609    0.00   0.21      0.79
24   0.99894531 0.512111426 0.511572483 0.807788210    0.00   0.00      1.00
25   0.99691406 0.833159851 0.410857839 0.205690828    0.00   0.02      0.98
26   0.04500000 0.032881184 0.005187798 0.324371281    0.85   0.14      0.01
27   0.99460938 0.383099936 0.455052544 0.245540344    0.00   0.01      0.99
28   0.99660156 0.327848827 0.496767432 0.387660267    0.00   0.01      0.99
29   1.00000000 0.627169101 0.792299950 0.182597043    0.00   0.00      1.00
30   0.90695313 0.249344173 0.237935618 0.301447283    0.00   0.31      0.69
31   0.99867187 0.547397497 0.511451785 0.682766148    0.00   0.00      1.00
32   0.78011719 0.488242658 0.116840852 0.687264651    0.00   0.51      0.49
33   1.00000000 0.617747306 0.863482077 0.348182285    0.00   0.00      1.00
34   0.81726562 0.477776242 0.127526462 0.800139942    0.01   0.44      0.55
35   0.98535156 0.825784273 0.258386652 0.414742843    0.00   0.06      0.94
36   0.99574219 0.538190189 0.458525772 0.367167968    0.00   0.01      0.99
37   0.93800781 0.783364552 0.131889993 0.422769321    0.00   0.13      0.87
38   1.00000000 0.389089851 0.764023322 0.810791635    0.00   0.00      1.00
39   0.99312500 0.505932323 0.412793147 0.961994667    0.00   0.04      0.96
40   1.00000000 0.941931160 0.685761691 0.567593188    0.00   0.00      1.00
41   0.99906250 0.573962358 0.524462348 0.960747147    0.00   0.01      0.99
