      prop.aneu    prob.meio    prob.mito    dispersal euploid mosaic aneuploid
1    1.00000000 0.8826585943 0.9543696193 8.462017e-02    0.00   0.00      1.00
2    0.76050781 0.4285442401 0.1040459515 1.045404e-01    0.05   0.43      0.52
3    0.99992187 0.8314509268 0.5794030069 6.064619e-01    0.00   0.00      1.00
4    0.64433594 0.0299099898 0.1229007207 9.673527e-01    0.00   0.85      0.15
5    1.00000000 0.8418820065 0.9631017658 2.781701e-02    0.00   0.00      1.00
6    1.00000000 0.2869943467 0.9619180497 4.121883e-01    0.00   0.00      1.00
7    0.99726563 0.7850679080 0.4188844443 7.462535e-01    0.00   0.01      0.99
8    0.79683594 0.1705716373 0.1764960946 6.761248e-01    0.00   0.57      0.43
9    0.72015625 0.0198783965 0.1510487569 5.129977e-01    0.00   0.72      0.28
10   1.00000000 0.7017195500 0.7180357857 8.050129e-01    0.00   0.00      1.00
11   0.90273437 0.4442369975 0.1913327328 6.545284e-01    0.00   0.24      0.76
12   0.56921875 0.5263742555 0.0263120607 6.660714e-01    0.20   0.33      0.47
13   0.99808594 0.9297211678 0.4381081243 7.882392e-01    0.00   0.03      0.97
14   1.00000000 0.2015802786 0.9561970604 5.277569e-01    0.00   0.00      1.00
15   0.99875000 0.8265995018 0.4639988679 6.913662e-01    0.00   0.03      0.97
16   0.95683594 0.6931514943 0.2144533158 6.307220e-01    0.00   0.12      0.88
17   0.99964844 0.9639517106 0.3461385965 7.851190e-01    0.00   0.00      1.00
18   0.98613281 0.0191806755 0.4106454684 7.502482e-01    0.00   0.04      0.96
19   0.92171875 0.1351844743 0.2671569425 9.895973e-01    0.00   0.33      0.67
20   0.99996094 0.1060963008 0.6995630183 9.472868e-02    0.00   0.00      1.00
21   0.99042969 0.7973199221 0.3598151568 7.449290e-01    0.00   0.04      0.96
22   1.00000000 0.7529934370 0.7380250762 8.586634e-01    0.00   0.00      1.00
23   0.99269531 0.9041912195 0.3066334417 9.507840e-01    0.00   0.03      0.97
24   0.91062500 0.1896904765 0.2462287713 1.573909e-01    0.00   0.36      0.64
25   0.99996094 0.5341509792 0.7000970531 1.710608e-01    0.00   0.00      1.00
26   1.00000000 0.8053964791 0.7765972337 8.052555e-01    0.00   0.00      1.00
27   0.99746094 0.8413959208 0.3714957407 6.731198e-01    0.00   0.01      0.99
28   0.98742188 0.7648067621 0.2895876663 7.543117e-01    0.00   0.06      0.94
29   1.00000000 0.0593337014 0.8088675735 3.907821e-01    0.00   0.00      1.00
30   1.00000000 0.3092190712 0.7709458142 8.699913e-01    0.00   0.00      1.00
31   0.96812500 0.0403753663 0.3513703251 1.158839e-01    0.00   0.17      0.83
32   0.69109375 0.2779324427 0.1151967929 7.071899e-01    0.00   0.70      0.30
33   0.90648438 0.7114517489 0.1251247379 2.432671e-01    0.00   0.18      0.82
34   1.00000000 0.3835772162 0.9989591893 7.684905e-01    0.00   0.00      1.00
35   1.00000000 0.4187952136 0.9376715820 6.998606e-01    0.00   0.00      1.00
36   0.99906250 0.3548027526 0.5603558919 4.880135e-01    0.00   0.00      1.00
37   1.00000000 0.3885035117 0.6615249340 2.708356e-01    0.00   0.00      1.00
38   0.92757813 0.0930602404 0.2706959785 5.852860e-01    0.00   0.35      0.65
39   0.99992187 0.6580967673 0.6615475314 4.346744e-02    0.00   0.00      1.00
40   0.99726563 0.9588845512 0.3061743532 7.765255e-01    0.00   0.01      0.99
41   1.00000000 0.7666912631 0.9113644098 1.653945e-01    0.00   0.00      1.00
42   0.86156250 0.5395356996 0.1251218133 5.414490e-01    0.00   0.36      0.64
43   0.98164063 0.2911532081 0.3629195238 1.445494e-01    0.00   0.07      0.93
44   0.96480469 0.1516485286 0.3319146861 1.001099e-01    0.00   0.16      0.84
45   0.99871094 0.0507273269 0.5638823253 7.190350e-01    0.00   0.00      1.00
46   0.98015625 0.8446154743 0.2085576092 2.797902e-01    0.00   0.08      0.92
47   1.00000000 0.5854596498 0.7189159589 2.380022e-01    0.00   0.00      1.00
48   0.36664062 0.3141201159 0.0297304119 1.536132e-01    0.39   0.41      0.20
49   0.98476562 0.6572320643 0.3442799379 5.188317e-01    0.00   0.04      0.96
50   0.98222656 0.5158944458 0.3333412546 2.077429e-01    0.00   0.05      0.95
51   0.99277344 0.4923765599 0.4224571153 2.243110e-02    0.00   0.06      0.94
52   1.00000000 0.1644609210 0.8606815604 1.838052e-01    0.00   0.00      1.00
53   0.99929687 0.3128708522 0.5689156728 8.165437e-01    0.00   0.00      1.00
54   0.99941406 0.4817911694 0.5740242351 9.536407e-01    0.00   0.00      1.00
55   1.00000000 0.8688887358 0.9124789988 3.198005e-01    0.00   0.00      1.00
56   0.97351562 0.5361786792 0.3088979186 3.741842e-01    0.00   0.13      0.87
57   1.00000000 0.7380559910 0.7470703921 8.082912e-01    0.00   0.00      1.00
58   0.99890625 0.8674283335 0.4489173500 8.178385e-01    0.00   0.01      0.99
59   0.99988281 0.4134115062 0.6499550203 9.944204e-01    0.00   0.00      1.00
60   0.99929687 0.0325121032 0.5826010606 9.678115e-01    0.00   0.01      0.99
61   0.94574219 0.1270486922 0.2975741259 1.264546e-01    0.00   0.14      0.86
62   0.94472656 0.4108720489 0.2791056128 2.752166e-01    0.00   0.27      0.73
63   0.98214844 0.5936143915 0.3539891911 8.552432e-01    0.00   0.07      0.93
64   1.00000000 0.4162967447 0.9053371062 3.456780e-01    0.00   0.00      1.00
65   0.97945313 0.4298214726 0.3283869724 2.653192e-03    0.00   0.11      0.89
66   1.00000000 0.9161183923 0.8983830360 5.169784e-02    0.00   0.00      1.00
67   0.99984375 0.4919100287 0.6165073023 1.956412e-01    0.00   0.00      1.00
68   0.89835937 0.8701263969 0.0495244649 9.928746e-01    0.02   0.13      0.85
69   1.00000000 0.5836836884 0.8346056275 8.911266e-01    0.00   0.00      1.00
70   0.97343750 0.5594476117 0.2953168869 6.653979e-01    0.00   0.15      0.85
71   0.99742188 0.8748542110 0.3856403527 9.215980e-01    0.00   0.01      0.99
