   prop.aneu prob.meio    prob.mito  dispersal euploid mosaic aneuploid
1  0.4596094 0.3309251 0.0228028360 0.63158377    0.31   0.33      0.36
2  0.5029297 0.3680321 0.0302864206 0.08284111    0.37   0.26      0.37
3  0.4312109 0.3787347 0.0090446824 0.49805520    0.47   0.13      0.40
4  0.4394531 0.3067283 0.0087324725 0.72761886    0.51   0.10      0.39
5  0.5324609 0.4903069 0.0006964647 0.13598793    0.45   0.02      0.53
6  0.4841797 0.4119422 0.0338454945 0.31461529    0.36   0.27      0.37
7  0.5387500 0.4609148 0.0301837516 0.61855762    0.26   0.30      0.44
8  0.6260156 0.5549574 0.0164032702 0.97899953    0.25   0.17      0.58
9  0.4740234 0.3310989 0.0325427640 0.26226045    0.36   0.29      0.35
10 0.5585156 0.5159328 0.0375533835 0.32900892    0.27   0.30      0.43
