   prop.aneu   prob.meio  prob.mito  dispersal euploid mosaic aneuploid
1  0.7966016 0.236147242 0.15775265 0.03825944    0.02   0.53      0.45
2  0.7767188 0.304422142 0.13546037 0.24593524    0.00   0.59      0.41
3  0.7846875 0.130421626 0.15908072 0.09694307    0.01   0.57      0.42
4  0.8158984 0.028601610 0.18707990 0.73267265    0.00   0.58      0.42
5  0.8048047 0.002143129 0.18307552 0.05681275    0.01   0.57      0.42
6  0.8194141 0.234898526 0.16467539 0.96600707    0.00   0.58      0.42
7  0.7790625 0.173929383 0.14810091 0.30915663    0.00   0.57      0.43
8  0.8081641 0.058557083 0.17310471 0.67597136    0.00   0.58      0.42
9  0.7018359 0.342664603 0.08908344 0.88748802    0.02   0.57      0.41
10 0.5836719 0.472311676 0.04903617 0.35675232    0.17   0.41      0.42
