   prop.aneu prob.meio   prob.mito  dispersal euploid mosaic aneuploid
1  0.4320703 0.3636373 0.017012307 0.02462384    0.49   0.14      0.37
2  0.3658984 0.2543510 0.017309088 0.37039914    0.46   0.25      0.29
3  0.5978906 0.5205673 0.028042999 0.60675456    0.21   0.29      0.50
4  0.4632031 0.4038823 0.023384808 0.17100379    0.42   0.21      0.37
5  0.5980859 0.5886120 0.021437064 0.37404758    0.30   0.17      0.53
6  0.5865234 0.5321118 0.009000521 0.57932325    0.34   0.10      0.56
7  0.6255469 0.5386072 0.017504263 0.54606419    0.25   0.20      0.55
8  0.4001953 0.3554995 0.002954878 0.73757789    0.52   0.10      0.38
9  0.6538281 0.6317948 0.020078629 0.77551827    0.23   0.19      0.58
10 0.5748828 0.5086336 0.011677097 0.23113594    0.32   0.15      0.53
