   prop.aneu prob.meio  prob.mito dispersal euploid mosaic aneuploid
1  0.6076563 0.5762372 0.01244009 0.3007502    0.29   0.15      0.56
2  0.4956250 0.4672268 0.01542943 0.9571096    0.31   0.25      0.44
3  0.6456641 0.6159610 0.01939860 0.5953884    0.25   0.16      0.59
4  0.4099219 0.3128179 0.01381065 0.5271351    0.39   0.28      0.33
5  0.5896094 0.3652719 0.04276215 0.0450626    0.28   0.25      0.47
6  0.6359375 0.6266765 0.01750729 0.8251467    0.25   0.16      0.59
7  0.5343359 0.4399130 0.01457998 0.5801817    0.31   0.21      0.48
8  0.4381250 0.2227107 0.03619765 0.2402022    0.34   0.37      0.29
9  0.3756250 0.2949372 0.01069135 0.4617424    0.48   0.19      0.33
10 0.6685937 0.5311669 0.02533903 0.2439165    0.25   0.16      0.59
