   prop.aneu   prob.meio   prob.mito  dispersal euploid mosaic aneuploid
1  0.6304297 0.461276014 0.053361957 0.18129688    0.18   0.39      0.43
2  0.6955469 0.497310728 0.089697998 0.99859319    0.02   0.57      0.41
3  0.7679297 0.006919383 0.159890820 0.02161747    0.03   0.55      0.42
4  0.7437891 0.044845016 0.156478307 0.00988638    0.06   0.51      0.43
5  0.7425391 0.356515868 0.113574553 0.08048616    0.05   0.51      0.44
6  0.8234375 0.064745941 0.193936575 0.20178398    0.00   0.57      0.43
7  0.5412891 0.364160778 0.026199694 0.74871656    0.27   0.32      0.41
8  0.8303906 0.020747854 0.193473019 0.26290977    0.00   0.57      0.43
9  0.8324219 0.014119082 0.196848920 0.27954762    0.00   0.59      0.41
10 0.4713281 0.471671637 0.005014411 0.22965208    0.48   0.07      0.45
