   prop.aneu prob.meio  prob.mito    dispersal euploid mosaic aneuploid
1  0.5653906 0.5584862 0.01450068 0.1714424761    0.38   0.09      0.53
2  0.6728516 0.5215801 0.04917955 0.0001621239    0.21   0.20      0.59
3  0.7394141 0.3471582 0.10247163 0.0032261605    0.12   0.31      0.57
4  0.6504688 0.6645785 0.02475714 0.1166235341    0.25   0.15      0.60
5  0.4110547 0.2680720 0.03488426 0.0278700530    0.47   0.22      0.31
6  0.5313281 0.3533906 0.02818043 0.1323579997    0.31   0.27      0.42
7  0.5490625 0.3942569 0.01043285 0.3642122964    0.36   0.12      0.52
8  0.6301953 0.4930408 0.05066974 0.2679193092    0.19   0.34      0.47
9  0.6931250 0.6053094 0.04039301 0.4964765061    0.17   0.24      0.59
10 0.5931641 0.4825265 0.03095366 0.0302121430    0.39   0.11      0.50
