   prop.aneu  prob.meio  prob.mito  dispersal euploid mosaic aneuploid
1  0.6934375 0.45133962 0.07689701 0.78168974    0.02   0.55      0.43
2  0.5260938 0.48472577 0.02303924 0.31799955    0.27   0.31      0.42
3  0.8008594 0.12650027 0.17298482 0.43028784    0.00   0.58      0.42
4  0.7785547 0.31167907 0.13144970 0.15342770    0.02   0.54      0.44
5  0.8344531 0.01403371 0.19334847 0.16204348    0.00   0.58      0.42
6  0.7223047 0.13781147 0.11884679 0.05261367    0.06   0.51      0.43
7  0.8094141 0.09812392 0.18070362 0.43057200    0.00   0.58      0.42
8  0.8346094 0.21637387 0.18438256 0.98342494    0.00   0.57      0.43
9  0.7873828 0.26030399 0.14738961 0.67081948    0.02   0.56      0.42
10 0.7638672 0.41018600 0.13436388 0.24849697    0.02   0.54      0.44
