   prop.aneu  prob.meio   prob.mito dispersal euploid mosaic aneuploid
1  0.6848828 0.38025897 0.090817318         1    0.05   0.55      0.40
2  0.8044141 0.05278782 0.174379829         1    0.00   0.58      0.42
3  0.7933203 0.26112238 0.147576703         1    0.00   0.55      0.45
4  0.5640625 0.43079935 0.037547776         1    0.13   0.45      0.42
5  0.7393359 0.43931202 0.115574934         1    0.02   0.57      0.41
6  0.5871094 0.49141000 0.037341117         1    0.05   0.50      0.45
7  0.8223828 0.06086181 0.197295706         1    0.00   0.55      0.45
8  0.4333984 0.35258311 0.008273605         1    0.49   0.11      0.40
9  0.5557813 0.41660577 0.027041249         1    0.17   0.38      0.45
10 0.5542969 0.41118370 0.033014576         1    0.16   0.44      0.40
