   prop.aneu prob.meio   prob.mito dispersal euploid mosaic aneuploid
1  0.6649609 0.4604925 0.038731400         1    0.12   0.34      0.54
2  0.4439063 0.3769454 0.012159969         1    0.41   0.20      0.39
3  0.4469922 0.4348541 0.011318490         1    0.41   0.20      0.39
4  0.2893750 0.2726339 0.004459501         1    0.59   0.15      0.26
5  0.4729687 0.5006740 0.006579751         1    0.42   0.14      0.44
6  0.3827344 0.3558998 0.003488429         1    0.57   0.07      0.36
7  0.5310156 0.4860892 0.003566807         1    0.46   0.02      0.52
8  0.5460938 0.5417788 0.008897893         1    0.33   0.17      0.50
9  0.5696875 0.6016271 0.007168599         1    0.36   0.09      0.55
10 0.6775000 0.5136622 0.033571774         1    0.12   0.31      0.57
