   prop.aneu  prob.meio  prob.mito dispersal euploid mosaic aneuploid
1  0.5337891 0.41618740 0.02246294       0.5    0.27   0.29      0.44
2  0.6428125 0.38816236 0.06503118       0.5    0.08   0.52      0.40
3  0.6183984 0.44424992 0.04876925       0.5    0.11   0.45      0.44
4  0.6629687 0.45087724 0.06050890       0.5    0.04   0.52      0.44
5  0.4548437 0.41748741 0.01116113       0.5    0.40   0.19      0.41
6  0.8071484 0.04992894 0.18615883       0.5    0.00   0.58      0.42
7  0.8030469 0.17472270 0.17348706       0.5    0.00   0.56      0.44
8  0.7446094 0.25903729 0.10938987       0.5    0.00   0.58      0.42
9  0.5909766 0.39427578 0.04478448       0.5    0.16   0.44      0.40
10 0.5255859 0.42201340 0.02535471       0.5    0.31   0.28      0.41
