   prop.aneu prob.meio    prob.mito dispersal euploid mosaic aneuploid
1  0.4543359 0.4562632 0.0004268789       0.5    0.54   0.01      0.45
2  0.4808594 0.4032959 0.0110065206       0.5    0.35   0.22      0.43
3  0.6578125 0.6181234 0.0308049386       0.5    0.20   0.23      0.57
4  0.5588672 0.4419416 0.0079628979       0.5    0.42   0.05      0.53
5  0.4052344 0.4584106 0.0088219286       0.5    0.47   0.17      0.36
6  0.3836328 0.3495639 0.0023109175       0.5    0.58   0.05      0.37
7  0.4870313 0.4569660 0.0184936062       0.5    0.33   0.26      0.41
8  0.6638672 0.5134145 0.0310316547       0.5    0.16   0.28      0.56
9  0.3999219 0.3339879 0.0137552023       0.5    0.45   0.21      0.34
10 0.4497656 0.4560269 0.0219022199       0.5    0.35   0.30      0.35
