   prop.aneu prob.meio  prob.mito   dispersal euploid mosaic aneuploid
1  0.5552734 0.2958350 0.04060056 0.038840811    0.36   0.24      0.40
2  0.4737109 0.4415845 0.01414285 0.149558255    0.46   0.11      0.43
3  0.4293359 0.3596572 0.01199808 0.008090527    0.47   0.15      0.38
4  0.5182031 0.4590662 0.03077273 0.022477642    0.44   0.16      0.40
5  0.5040234 0.3770413 0.02344030 0.031724000    0.43   0.19      0.38
6  0.6143359 0.5335499 0.02817560 0.154437555    0.26   0.25      0.49
7  0.6079297 0.3778013 0.04974175 0.005510780    0.33   0.20      0.47
8  0.5487500 0.4117747 0.02131197 0.072671844    0.34   0.18      0.48
9  0.5358984 0.4873583 0.01654494 0.196581687    0.36   0.17      0.47
10 0.6169141 0.4742539 0.02519971 0.122742294    0.29   0.18      0.53
