   prop.aneu  prob.meio  prob.mito   dispersal euploid mosaic aneuploid
1  0.8122266 0.04172932 0.18766620 0.024260718    0.04   0.54      0.42
2  0.8158203 0.02823534 0.19749054 0.064571654    0.01   0.56      0.43
3  0.7744922 0.17023525 0.14850959 0.105846062    0.03   0.53      0.44
4  0.8256250 0.07955642 0.18349083 0.194841508    0.00   0.57      0.43
5  0.6066016 0.41124426 0.05480391 0.002740109    0.32   0.26      0.42
6  0.6501953 0.36551962 0.06240954 0.125836229    0.16   0.41      0.43
7  0.7022656 0.39484165 0.09776626 0.089619823    0.05   0.52      0.43
8  0.6647656 0.25897853 0.09952789 0.008952236    0.13   0.43      0.44
9  0.8054297 0.11722567 0.17665835 0.031831402    0.06   0.51      0.43
10 0.4506250 0.37576975 0.00349770 0.198319234    0.55   0.01      0.44
