   prop.aneu prob.meio   prob.mito    dispersal euploid mosaic aneuploid
1  0.6603125 0.5429006 0.051474153 7.080592e-02    0.24   0.27      0.49
2  0.5448828 0.4290865 0.030160209 7.976929e-02    0.34   0.22      0.44
3  0.6639453 0.3458318 0.081165322 9.948215e-05    0.28   0.27      0.45
4  0.5683203 0.3748568 0.039617403 9.826294e-02    0.30   0.26      0.44
5  0.5925000 0.4273433 0.043830789 1.572675e-01    0.26   0.29      0.45
6  0.4521094 0.4456308 0.010971399 1.505046e-01    0.49   0.11      0.40
7  0.5876953 0.4470649 0.032196334 4.131878e-02    0.28   0.24      0.48
8  0.5573828 0.5032078 0.023542303 8.525153e-02    0.32   0.22      0.46
9  0.6716797 0.4815668 0.042351851 6.861527e-02    0.26   0.17      0.57
10 0.4665625 0.4570754 0.007312161 1.663076e-01    0.52   0.04      0.44
