"","prob.meio","prob.mito","Euploid","Mosaic Aneuploid","Fully Aneuploid","misclassification"
"40",0.455454571285547,0.0124693705469552,0,548,452,0.1
"44",0.479574519667866,0.0119391584128722,2,517,481,0.1
"34",0.437284435351003,0.0161065236628423,0,538,462,0.1
"16",0.472991367039286,0.0155689403024927,0,519,481,0.1
"23",0.475237679717344,0.0103664193461611,1,504,495,0.1
"7",0.467377433397531,0.0133678443397729,0,514,486,0.1
"36",0.422423539195177,0.0133204253343769,0,566,434,0.1
"44.1",0.479574519667866,0.0119391584128722,0,498,502,0.1
"6",0.468906338607475,0.0147581722306226,1,532,467,0.1
"12",0.464664768926837,0.0143149111122412,3,518,479,0.1
"37",0.424193189448415,0.015868023153735,0,591,409,0.1
"24",0.473903222837611,0.0151604241974465,0,517,483,0.1
"23.1",0.475237679717344,0.0103664193461611,3,523,474,0.1
"32",0.46096393325458,0.0136122487748009,0,547,453,0.1
"1",0.451273734494803,0.0155921859002565,0,528,472,0.1
"3",0.448618791613566,0.0107239386557208,2,534,464,0.1
"28",0.465708406068426,0.017316431402527,0,543,457,0.1
"51",0.481151999208735,0.0124088809632776,2,515,483,0.1
"14",0.45699212225629,0.0144148648338543,0,559,441,0.1
"11",0.47231742415008,0.0129537993869791,1,523,476,0.1
"46",0.471499041125654,0.0128049099734913,0,543,457,0.1
"3.1",0.448618791613566,0.0107239386557208,1,566,433,0.1
"15",0.46010295982262,0.0142643955925226,1,566,433,0.1
"36.1",0.422423539195177,0.0133204253343769,2,569,429,0.1
"16.1",0.472991367039286,0.0155689403024927,0,550,450,0.1
"5",0.448586712101914,0.0139177999484223,0,566,434,0.1
"43",0.489748925931832,0.00963372474005865,5,502,493,0.1
"43.1",0.489748925931832,0.00963372474005865,6,516,478,0.1
"28.1",0.465708406068426,0.017316431402527,0,536,464,0.1
"4",0.458801155386865,0.0126712849663557,0,541,459,0.1
"42",0.451341260169624,0.0121753810316328,0,538,462,0.1
"7.1",0.467377433397531,0.0133678443397729,0,543,457,0.1
"45",0.450875957793253,0.016189861719969,0,574,426,0.1
"46.1",0.471499041125654,0.0128049099734913,0,522,478,0.1
"17",0.487526764093627,0.0122300704131296,1,504,495,0.1
"13",0.461281615161594,0.0151985148353762,0,572,428,0.1
"5.1",0.448586712101914,0.0139177999484223,1,526,473,0.1
