"","prob.meio","prob.mito","Euploid","Mosaic Aneuploid","Fully Aneuploid","misclassification"
"23",0.165365479477247,0.00076691440296105,563,281,156,0.6
"6",0.163269974508305,0.000509889534968259,652,181,167,0.6
"21",0.120565176043409,0.00101350171570823,502,375,123,0.6
"6.1",0.163269974508305,0.000509889534968259,645,184,171,0.6
"1",0.206916616742373,0.000545416994495912,571,208,221,0.6
"3",0.217193739722266,0.000582948007429188,577,208,215,0.6
"12",0.0817189651581636,0.000418282068622888,751,174,75,0.6
"1.1",0.206916616742373,0.000545416994495912,587,199,214,0.6
"19",0.133784574000665,0.000258980546582816,751,102,147,0.6
"28",0.180154808551382,0.00157119570415578,353,450,197,0.6
"11",0.120356438340824,0.000377280556333864,729,151,120,0.6
"10",0.173534169968312,0.000898821050682366,539,304,157,0.6
"17",0.144353251390803,0.000316374056871411,727,129,144,0.6
"24",0.115635838756896,0.000604033996950349,630,236,134,0.6
"3.1",0.217193739722266,0.000582948007429188,603,186,211,0.6
"32",0.0922112625486083,0.000652479637992773,627,277,96,0.6
"6.2",0.163269974508305,0.000509889534968259,653,190,157,0.6
"17.1",0.144353251390803,0.000316374056871411,750,118,132,0.6
"6.3",0.163269974508305,0.000509889534968259,651,196,153,0.6
"3.2",0.217193739722266,0.000582948007429188,563,228,209,0.6
"25",0.135197073619784,2.2214468784035e-05,838,8,154,0.6
"21.1",0.120565176043409,0.00101350171570823,494,388,118,0.6
"4",0.149283749814518,0.000354870787120533,713,145,142,0.6
"24.1",0.115635838756896,0.000604033996950349,665,228,107,0.6
"22",0.115492021299553,0.000336059578219406,740,150,110,0.6
"36",0.128589038800933,0.000981040798857338,524,360,116,0.6
"25.1",0.135197073619784,2.2214468784035e-05,843,13,144,0.6
"25.2",0.135197073619784,2.2214468784035e-05,842,10,148,0.6
"34",0.119327178887301,0.000293208407930649,758,136,106,0.6
"26",0.107133395019646,0.000359838302146207,754,155,91,0.6
"36.1",0.128589038800933,0.000981040798857338,546,311,143,0.6
"14",0.0909509246144452,0.000128375271988162,840,60,100,0.6
"11.1",0.120356438340824,0.000377280556333864,715,149,136,0.6
"21.2",0.120565176043409,0.00101350171570823,504,359,137,0.6
"33",0.102461306964992,0.000383663668887921,740,162,98,0.6
"5",0.152383588360939,0.000381351799025725,705,158,137,0.6
"28.1",0.180154808551382,0.00157119570415578,362,471,167,0.6
"36.2",0.128589038800933,0.000981040798857338,539,326,135,0.6
"36.3",0.128589038800933,0.000981040798857338,547,323,130,0.6
"5.1",0.152383588360939,0.000381351799025725,687,152,161,0.6
"20",0.134265965205178,0.00011623131269239,828,58,114,0.6
"16",0.159790045487272,0.000141288876756622,773,61,166,0.6
"28.2",0.180154808551382,0.00157119570415578,363,463,174,0.6
"32.1",0.0922112625486083,0.000652479637992773,662,231,107,0.6
"5.2",0.152383588360939,0.000381351799025725,699,142,159,0.6
"25.3",0.135197073619784,2.2214468784035e-05,870,13,117,0.6
"27",0.157838155897043,0.00023801457147,727,107,166,0.6
"28.3",0.180154808551382,0.00157119570415578,344,477,179,0.6
"3.3",0.217193739722266,0.000582948007429188,609,200,191,0.6
"8",0.143383768428256,0.000557766366892804,647,218,135,0.6
"10.1",0.173534169968312,0.000898821050682366,508,318,174,0.6
"7",0.146100105367008,0.00093678469066152,544,310,146,0.6
"27.1",0.157838155897043,0.00023801457147,742,95,163,0.6
"34.1",0.119327178887301,0.000293208407930649,749,122,129,0.6
"33.1",0.102461306964992,0.000383663668887921,749,153,98,0.6
"14.1",0.0909509246144452,0.000128375271988162,858,45,97,0.6
"33.2",0.102461306964992,0.000383663668887921,736,152,112,0.6
"8.1",0.143383768428256,0.000557766366892804,636,209,155,0.6
"16.1",0.159790045487272,0.000141288876756622,784,57,159,0.6
"18",0.116037435347861,5.12218621199067e-05,862,24,114,0.6
"6.4",0.163269974508305,0.000509889534968259,673,176,151,0.6
"18.1",0.116037435347861,5.12218621199067e-05,845,23,132,0.6
"7.1",0.146100105367008,0.00093678469066152,519,314,167,0.6
"18.2",0.116037435347861,5.12218621199067e-05,866,24,110,0.6
"35",0.0994416503272005,0.00103290903593856,533,365,102,0.6
"24.2",0.115635838756896,0.000604033996950349,645,238,117,0.6
"28.4",0.180154808551382,0.00157119570415578,354,483,163,0.6
"1.2",0.206916616742373,0.000545416994495912,619,190,191,0.6
"16.2",0.159790045487272,0.000141288876756622,806,53,141,0.6
"28.5",0.180154808551382,0.00157119570415578,363,441,196,0.6
"31",0.101840165404381,0.00171411416864178,388,515,97,0.6
"18.3",0.116037435347861,5.12218621199067e-05,855,20,125,0.6
"35.1",0.0994416503272005,0.00103290903593856,544,373,83,0.6
"33.3",0.102461306964992,0.000383663668887921,750,152,98,0.6
"4.1",0.149283749814518,0.000354870787120533,705,140,155,0.6
"29",0.103091517504221,0.00060599502651178,637,259,104,0.6
"25.4",0.135197073619784,2.2214468784035e-05,848,10,142,0.6
"9",0.132766402301589,0.000924583460268585,546,315,139,0.6
"33.4",0.102461306964992,0.000383663668887921,736,158,106,0.6
"7.2",0.146100105367008,0.00093678469066152,517,332,151,0.6
