"","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid","NA"
"1",0.03515625,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"2",0.00390625,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"3",0.03125,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"4",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"5",0.0078125,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"6",0.2578125,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"7",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"8",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"9",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"10",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"11",0.01171875,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"12",0.0234375,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"13",0.0078125,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"14",0.08984375,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"15",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"16",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"17",0,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"18",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"19",0.0078125,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"20",0.07421875,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"21",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"22",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"23",0.015625,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"24",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"25",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"26",0.00390625,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"27",0.0546875,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"28",0.09765625,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"29",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"30",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"31",0,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"32",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"33",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"34",0.0078125,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"35",0.03125,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"36",0.0234375,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"37",0,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"38",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"39",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"40",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"41",0.140625,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"42",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"43",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"44",0.00390625,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"45",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"46",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"47",0.06640625,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"48",0.52734375,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"49",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"50",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"51",0,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"52",0.02734375,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"53",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"54",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"55",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"56",0.01953125,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"57",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"58",0.01953125,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"59",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"60",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"61",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"62",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"63",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"64",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"65",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"66",1,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
"67",0.0078125,0.514655451566451,0.00613695944925123,0,0.423,0.051,0.526,0.1302
