"","prob.meio","prob.mito","Euploid","Mosaic Aneuploid","Fully Aneuploid","misclassification"
"404",0.501905708729584,0.00081630160243215,331,180,489,0.9
"133",0.541999620969327,0.00079800356033771,283,168,549,0.9
"227",0.527235053493518,0.000963789199006747,291,170,539,0.9
"298",0.501092319497341,0.00142523094202479,236,261,503,0.9
"265",0.509622855770969,0.00163000260237686,227,312,461,0.9
"5",0.516130353309932,0.00121753321273072,255,240,505,0.9
"382",0.502641374632109,0.00165397206028868,222,278,500,0.9
"407",0.508445861375684,0.000987861873449187,290,201,509,0.9
"269",0.492871022602133,0.00119555294426268,267,213,520,0.9
"240",0.526023029357867,0.00100771308295859,286,189,525,0.9
"236",0.501767888991819,0.000963804378675964,286,192,522,0.9
"384",0.514011644667433,0.00116376780221688,263,203,534,0.9
"417",0.514115952310534,0.00101177368390421,310,186,504,0.9
"258",0.518784026719791,0.00139787917583955,230,249,521,0.9
"263",0.513931907278048,0.00116337298752383,282,204,514,0.9
"165",0.5232529728329,0.00112780111958613,234,211,555,0.9
"294",0.512658334715871,0.000957447373499787,287,183,530,0.9
"284",0.500472803450408,0.00112167419827308,287,214,499,0.9
"225",0.532796030024076,0.000906084002195276,294,176,530,0.9
"32",0.467518942209744,0.00160148712094325,226,317,457,0.9
"42",0.498468271623143,0.00138432173589826,243,248,509,0.9
"420",0.482193394898316,0.00165561332264427,214,300,486,0.9
"13",0.514019630474436,0.00166486845487113,201,295,504,0.9
"95",0.512076788870914,0.00121889791204558,269,213,518,0.9
"159",0.509676305680329,0.0010411350033118,274,206,520,0.9
"130",0.50923676470566,0.00128259868613718,264,224,512,0.9
"21",0.471014375190845,0.00132913788492247,268,258,474,0.9
"138",0.513188800618095,0.000968968217621958,275,192,533,0.9
"425",0.498671838803657,0.00138237890965535,260,239,501,0.9
"3",0.501355877599276,0.000824514387871934,346,174,480,0.9
"359",0.518078451901265,0.001332484149082,256,254,490,0.9
"328",0.483642460102995,0.00133097321372618,261,250,489,0.9
"331",0.520552375933829,0.00140145723423961,237,236,527,0.9
"55",0.514923890402197,0.000774885371614969,335,163,502,0.9
"194",0.492798538160281,0.00159178125429043,239,262,499,0.9
"84",0.496544652723441,0.00138136718936893,233,274,493,0.9
"393",0.511679902464528,0.00107246624682786,288,200,512,0.9
"235",0.504809091380091,0.00079599837926723,340,164,496,0.9
"136",0.485093080551137,0.000899665188823929,329,178,493,0.9
"260",0.499542759932163,0.00151083267783304,228,268,504,0.9
"369",0.497726954824369,0.000823952777715145,325,193,482,0.9
"410",0.521741604011499,0.00110166442855139,297,198,505,0.9
"368",0.499523082085205,0.00134138995209518,248,236,516,0.9
"188",0.491413798767268,0.000585032188661767,399,127,474,0.9
"228",0.511257511992423,0.000738496161985611,333,172,495,0.9
"293",0.518906453704461,0.00103849447849775,300,173,527,0.9
"254",0.506803014964458,0.0012520166729771,244,243,513,0.9
"157",0.512908252576835,0.00146520262815954,238,253,509,0.9
"71",0.506738765083341,0.00100043741718111,308,197,495,0.9
"323",0.498993040296001,0.00120373781501695,252,241,507,0.9
"54",0.507335377113163,0.00126091209661038,241,211,548,0.9
"241",0.514181920684801,0.00124536650305949,282,203,515,0.9
"180",0.504703416503867,0.00142776414066538,220,279,501,0.9
"80",0.516311854455259,0.000816751740713254,340,161,499,0.9
"204",0.507127194426449,0.00134239127185956,268,250,482,0.9
"391",0.496167894985409,0.000917596360790248,305,212,483,0.9
"367",0.515347830122439,0.00129118713286971,257,218,525,0.9
"257",0.514391502124057,0.00117010331833743,263,200,537,0.9
"193",0.520325900943485,0.00086694606978228,308,169,523,0.9
"269.1",0.492871022602133,0.00119555294426268,255,265,480,0.9
"21.1",0.471014375190845,0.00132913788492247,280,240,480,0.9
"322",0.487881632708032,0.00113411710693251,287,248,465,0.9
"49",0.505250647988677,0.00065229028794907,345,162,493,0.9
"387",0.498697704906565,0.00141554616230007,234,247,519,0.9
"60",0.512141384791937,0.00105224121351537,299,192,509,0.9
"416",0.518482097788094,0.000830087808833119,297,168,535,0.9
"142",0.493426947125992,0.000886413993348261,306,179,515,0.9
"161",0.506160321346404,0.00114476916749196,271,212,517,0.9
"262",0.486463546755011,0.00155148954278838,257,269,474,0.9
"76",0.50489867771583,0.00118225864295015,263,226,511,0.9
"294.1",0.512658334715871,0.000957447373499787,293,174,533,0.9
"180.1",0.504703416503867,0.00142776414066538,253,249,498,0.9
"40",0.53305322724772,0.00103536348824789,293,183,524,0.9
"201",0.511813321935781,0.00132002532708041,245,231,524,0.9
"249",0.53018949856823,0.00138077264552371,239,232,529,0.9
"157.1",0.512908252576835,0.00146520262815954,222,267,511,0.9
"264",0.509208564948238,0.00111607937879809,274,204,522,0.9
"193.1",0.520325900943485,0.00086694606978228,289,184,527,0.9
"142.1",0.493426947125992,0.000886413993348261,297,167,536,0.9
"423",0.523267584082291,0.000942281269992459,304,162,534,0.9
"141",0.524198632008647,0.000913223157713503,274,178,548,0.9
"324",0.502149410962537,0.000958407670615806,301,187,512,0.9
"153",0.514654683432091,0.00122985764774438,278,214,508,0.9
"75",0.494765270093656,0.00116729799613309,280,231,489,0.9
"274",0.516014840058983,0.00100332251599048,274,197,529,0.9
"393.1",0.511679902464528,0.00107246624682786,280,195,525,0.9
"314",0.502513482242626,0.00123366996716488,266,200,534,0.9
"23",0.516587057533693,0.00137607657714595,233,236,531,0.9
"326",0.510451063870261,0.00113926991639306,280,223,497,0.9
"222",0.51281830436185,0.00109046505657323,256,204,540,0.9
"390",0.504650250005991,0.000867986819808359,318,186,496,0.9
"283",0.503179611764477,0.000705224497858298,338,162,500,0.9
"414",0.486821248951373,0.000979183982120629,302,214,484,0.9
"337",0.517667895782915,0.0010481701305878,290,194,516,0.9
"338",0.523040750335211,0.00125487547741635,254,232,514,0.9
"373",0.48287463880758,0.00126580008074174,260,250,490,0.9
"195",0.505627471906607,0.00105706998947291,293,206,501,0.9
"352",0.515884977395068,0.00109225229479647,270,216,514,0.9
"271",0.52200136648002,0.00100724855285358,282,181,537,0.9
"398",0.52525465380918,0.00113543539938603,275,215,510,0.9
"50",0.527697560617513,0.000723056255403546,319,144,537,0.9
"351",0.509479038579366,0.00138964614357444,238,240,522,0.9
"282",0.506982813443663,0.000859683139829155,316,169,515,0.9
"44",0.503892730441648,0.000981802574007394,282,207,511,0.9
"184",0.503681330568708,0.000852053351173838,352,177,471,0.9
"224",0.506176278055791,0.000997830500574328,294,192,514,0.9
"350",0.489847865407245,0.00124612583650883,280,231,489,0.9
"99",0.531808381841235,0.00087290607995853,278,168,554,0.9
"234",0.510572513017425,0.00127661812078328,251,229,520,0.9
