"","embryo","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"1",1,0.6782812,0.579812,0.019869683,0.5,0.18,0.2,0.62
"2",2,0.5226563,0.3849925,0.008481259,0.5,0.41,0.09,0.5
"3",3,0.6034766,0.5299623,0.020550587,0.5,0.21,0.25,0.54
"4",4,0.4332031,0.3360726,0.020086047,0.5,0.35,0.3,0.35
"5",5,0.6410156,0.5375083,0.02796417,0.5,0.21,0.22,0.57
"6",6,0.5476172,0.4980803,0.02302903,0.5,0.29,0.26,0.45
"7",7,0.6257031,0.4469592,0.047292706,0.5,0.14,0.41,0.45
"8",8,0.4476172,0.4001887,0.002712918,0.5,0.5,0.06,0.44
"9",9,0.3780469,0.3352618,0.008598687,0.5,0.5,0.17,0.33
"10",10,0.6269922,0.6043881,0.016385971,0.5,0.19,0.25,0.56
"11",1,0.4946484,0.4743176,0.009451739,0.5,0.4,0.15,0.45
"12",2,0.5437109,0.4386765,0.0249346108,0.5,0.26,0.31,0.43
"13",3,0.5901172,0.5300533,0.0036547435,0.5,0.37,0.05,0.58
"14",4,0.5492578,0.4385975,0.0272936679,0.5,0.21,0.36,0.43
"15",5,0.3127734,0.2577242,0.0009120998,0.5,0.67,0.02,0.31
"16",6,0.4692188,0.3436485,0.0291104515,0.5,0.3,0.36,0.34
"17",7,0.5993359,0.560751,0.0299888405,0.5,0.21,0.3,0.49
"18",8,0.5937891,0.4329306,0.0381012349,0.5,0.18,0.38,0.44
"19",9,0.3773047,0.4033229,0.0017531519,0.5,0.6,0.03,0.37
"20",10,0.5144141,0.4364257,0.0286157515,0.5,0.24,0.38,0.38
"21",1,0.5753516,0.4589441,0.010455844,0.5,0.29,0.17,0.54
"22",2,0.6376172,0.4680288,0.0248863103,0.5,0.2,0.26,0.54
"23",3,0.6262891,0.5208033,0.0249417133,0.5,0.22,0.23,0.55
"24",4,0.4523828,0.4012793,0.0006259386,0.5,0.55,0,0.45
"25",5,0.4617578,0.4166878,0.0257162743,0.5,0.27,0.38,0.35
"26",6,0.5892578,0.5219014,0.0191478659,0.5,0.28,0.19,0.53
