"","embryo","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"1",1,0.5844141,0.4126313,0.04157186,0,0.33,0.21,0.46
"2",2,0.4527344,0.2152468,0.04028492,0,0.38,0.28,0.34
"3",3,0.5680469,0.4194252,0.0465961,0,0.29,0.29,0.42
"4",4,0.4967969,0.342438,0.03140603,0,0.47,0.14,0.39
"5",5,0.4905859,0.3139165,0.04154153,0,0.4,0.27,0.33
"6",6,0.6156641,0.4715696,0.02973135,0,0.31,0.15,0.54
"7",7,0.5761719,0.4372134,0.04276921,0,0.32,0.26,0.42
"8",8,0.4571094,0.1729174,0.04695554,0,0.41,0.26,0.33
"9",9,0.4804297,0.4317591,0.01683639,0,0.43,0.14,0.43
"10",10,0.4999609,0.3053492,0.03614031,0,0.36,0.25,0.39
"11",1,0.5636719,0.495345,0.03853859,0,0.31,0.21,0.48
"12",2,0.5517188,0.4171245,0.02798266,0,0.41,0.14,0.45
"13",3,0.4261328,0.4186866,0.01228032,0,0.45,0.17,0.38
"14",4,0.4883203,0.4545979,0.01248883,0,0.43,0.13,0.44
"15",5,0.6158594,0.4411816,0.03048001,0,0.32,0.14,0.54
"16",6,0.5951172,0.3390921,0.05679924,0,0.29,0.27,0.44
"17",7,0.561875,0.5442825,0.03159455,0,0.36,0.14,0.5
"18",8,0.5265234,0.2638947,0.05896474,0,0.34,0.3,0.36
"19",9,0.6132812,0.4417872,0.03543848,0,0.29,0.2,0.51
"20",10,0.5457422,0.2762626,0.04653835,0,0.33,0.26,0.41
"21",1,0.5684766,0.2707026,0.06206659,0,0.33,0.29,0.38
"22",2,0.5275391,0.244046,0.0604596,0,0.35,0.26,0.39
"23",3,0.6391016,0.3887723,0.06773407,0,0.24,0.29,0.47
"24",4,0.6563281,0.5134906,0.05300527,0,0.27,0.23,0.5
"25",5,0.3903125,0.2507574,0.02309973,0,0.53,0.17,0.3
"26",6,0.5748047,0.4111596,0.05106839,0,0.27,0.31,0.42
"27",7,0.5997656,0.359081,0.06370621,0,0.3,0.27,0.43
"28",8,0.5496484,0.3552185,0.05326454,0,0.31,0.28,0.41
"29",9,0.4732422,0.3668492,0.01739903,0,0.51,0.09,0.4
"30",10,0.4838281,0.3447503,0.01237739,0,0.46,0.1,0.44
"31",1,0.6237891,0.4916684,0.0487996,0,0.26,0.21,0.53
"32",2,0.4542969,0.3972895,0.01286415,0,0.51,0.08,0.41
"33",3,0.6271094,0.4560474,0.04886761,0,0.26,0.24,0.5
"34",4,0.6342969,0.4069747,0.06590708,0,0.29,0.25,0.46
"35",5,0.5883203,0.2895445,0.05323574,0,0.33,0.25,0.42
"36",6,0.4005078,0.3095731,0.01555793,0,0.51,0.15,0.34
"37",7,0.5657031,0.3718407,0.05417416,0,0.32,0.29,0.39
"38",8,0.52875,0.2887965,0.03377405,0,0.35,0.28,0.37
"39",9,0.6313672,0.3430242,0.06924255,0,0.24,0.26,0.5
"40",10,0.6261328,0.4422067,0.05415361,0,0.3,0.23,0.47
"41",1,0.4866797,0.2643371,0.03748117,0,0.38,0.28,0.34
"42",2,0.6417188,0.4909689,0.03818599,0,0.28,0.16,0.56
"43",3,0.5503125,0.4086105,0.05816196,0,0.31,0.3,0.39
"44",4,0.5748047,0.5140498,0.03639535,0,0.34,0.18,0.48
"45",5,0.4205469,0.2528432,0.03663856,0,0.46,0.26,0.28
"46",6,0.6086719,0.3273094,0.06674288,0,0.29,0.28,0.43
"47",7,0.6101562,0.3416781,0.05240976,0,0.29,0.21,0.5
"48",8,0.523125,0.3698712,0.03815467,0,0.32,0.29,0.39
"49",9,0.6466797,0.5080891,0.04736778,0,0.25,0.23,0.52
"50",10,0.5387109,0.2069832,0.05585427,0,0.35,0.25,0.4
"51",1,0.4600781,0.4891227,0.008837324,0,0.48,0.09,0.43
"52",2,0.4902734,0.4634644,0.022191693,0,0.43,0.12,0.45
