"","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"1",0.3466448,0.02112237,0,0.52,0.11,0.37
"2",0.3558398,0.02954718,0,0.33,0.22,0.45
"3",0.2918068,0.02346878,0,0.41,0.21,0.38
"4",0.2565708,0.06487662,0,0.29,0.26,0.45
"5",0.4950538,0.04286265,0,0.27,0.24,0.49
"6",0.3957789,0.06060152,0,0.31,0.2,0.49
"7",0.3792361,0.04422255,0,0.31,0.26,0.43
"8",0.5498346,0.04476929,0,0.27,0.23,0.5
"9",0.4259036,0.05594385,0,0.32,0.27,0.41
"10",0.4155597,0.01997576,0,0.44,0.12,0.44
"11",0.3095515,0.03067977,0,0.44,0.23,0.33
"12",0.4624768,0.05086429,0,0.3,0.22,0.48
"13",0.425235,0.03135333,0,0.33,0.22,0.45
"14",0.4631624,0.05434178,0,0.27,0.22,0.51
"15",0.4713244,0.03513062,0,0.27,0.22,0.51
"16",0.3060087,0.06556274,0,0.25,0.28,0.47
"17",0.3968856,0.04992114,0,0.35,0.19,0.46
"18",0.4791608,0.04779408,0,0.3,0.17,0.53
"19",0.4491953,0.04697929,0,0.34,0.2,0.46
"20",0.3077472,0.05816891,0,0.31,0.27,0.42
"21",0.369433,0.01459778,0,0.48,0.16,0.36
"22",0.3963164,0.05028087,0,0.29,0.24,0.47
"23",0.3663532,0.03673853,0,0.45,0.17,0.38
"24",0.3261459,0.04156451,0,0.37,0.22,0.41
"25",0.2861715,0.03449072,0,0.38,0.23,0.39
"26",0.4778231,0.02700847,0,0.34,0.22,0.44
"27",0.4414834,0.0478502,0,0.39,0.2,0.41
"28",0.4438679,0.02872495,0,0.39,0.17,0.44
"29",0.2041105,0.07321701,0,0.32,0.22,0.46
"30",0.2902864,0.01754052,0,0.45,0.14,0.41
"31",0.4197667,0.05046195,0,0.27,0.23,0.5
"32",0.3517329,0.01096506,0,0.51,0.11,0.38
"33",0.3210505,0.02768236,0,0.42,0.24,0.34
"34",0.2590005,0.04632354,0,0.36,0.26,0.38
"35",0.2226628,0.0381271,0,0.41,0.23,0.36
"36",0.5027779,0.02766422,0,0.36,0.13,0.51
"37",0.4932697,0.04358701,0,0.25,0.25,0.5
"38",0.3511875,0.06388518,0,0.24,0.26,0.5
"39",0.2765721,0.04221673,0,0.3,0.28,0.42
"40",0.3416492,0.04842627,0,0.29,0.29,0.42
"41",0.2852597,0.03296007,0,0.42,0.19,0.39
"42",0.3589001,0.03158257,0,0.46,0.14,0.4
"43",0.4603944,0.05530414,0,0.28,0.22,0.5
"44",0.3986465,0.06390973,0,0.28,0.23,0.49
"45",0.4499031,0.03165308,0,0.32,0.19,0.49
"46",0.2786325,0.03915172,0,0.38,0.24,0.38
"47",0.6239527,0.02338681,0,0.32,0.19,0.49
"48",0.3170328,0.07453756,0,0.28,0.25,0.47
"49",0.2888007,0.03543267,0,0.44,0.2,0.36
"50",0.3477655,0.03180635,0,0.45,0.16,0.39
"51",0.4052789,0.02488029,0,0.49,0.13,0.38
"52",0.3807281,0.03026397,0,0.32,0.22,0.46
"53",0.3415709,0.05663646,0,0.3,0.23,0.47
"54",0.569408,0.02671758,0,0.29,0.17,0.54
"55",0.414071,0.03539092,0,0.3,0.26,0.44
"56",0.2993202,0.01444193,0,0.54,0.13,0.33
"57",0.32346,0.03552456,0,0.44,0.22,0.34
"58",0.2541033,0.04748207,0,0.38,0.26,0.36
"59",0.5538461,0.04468446,0,0.25,0.2,0.55
"60",0.3928284,0.01293631,0,0.47,0.09,0.44
"61",0.3973745,0.03115928,0,0.35,0.13,0.52
"62",0.4231084,0.01875618,0,0.4,0.14,0.46
"63",0.3792156,0.03336441,0,0.4,0.21,0.39
"64",0.2412123,0.03934733,0,0.38,0.28,0.34
"65",0.2177083,0.03475348,0,0.47,0.23,0.3
"66",0.4476383,0.05868639,0,0.35,0.19,0.46
"67",0.4797732,0.03470644,0,0.37,0.21,0.42
"68",0.5224731,0.03917427,0,0.41,0.12,0.47
"69",0.5313444,0.01057329,0,0.41,0.11,0.48
"70",0.4943647,0.02951287,0,0.33,0.16,0.51
"71",0.3553518,0.025664493,0,0.41,0.19,0.4
"72",0.5747969,0.030888375,0,0.31,0.16,0.53
"73",0.1931614,0.035269861,0,0.48,0.2,0.32
"74",0.342993,0.048247905,0,0.32,0.21,0.47
"75",0.2815418,0.046328272,0,0.37,0.24,0.39
"76",0.4077576,0.008706087,0,0.47,0.09,0.44
"77",0.4169507,0.02595624,0,0.34,0.15,0.51
"78",0.3487007,0.016990849,0,0.43,0.12,0.45
"79",0.5001041,0.013458667,0,0.41,0.12,0.47
