"","embryo","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"1",1,0.7619922,0.26544683,0.13583201,0.15495743,0.03,0.57,0.4
"2",2,0.6214063,0.37568014,0.05040835,0.49272701,0.12,0.42,0.46
"3",3,0.8331641,0.04724843,0.20196307,0.2953875,0,0.59,0.41
"4",4,0.7852344,0.11056197,0.16157907,0.35079905,0,0.56,0.44
"5",5,0.6849609,0.26699038,0.08082512,0.71115149,0.02,0.59,0.39
"6",6,0.6812891,0.39370503,0.08673054,0.48447059,0.04,0.51,0.45
"7",7,0.7864062,0.0866617,0.1536383,0.75269502,0,0.6,0.4
"8",8,0.6421094,0.29401145,0.06996542,0.08684488,0.12,0.48,0.4
"9",9,0.8119531,0.14694032,0.16474426,0.5704371,0,0.55,0.45
"10",10,0.7943359,0.2261194,0.13971606,0.36333857,0,0.55,0.45
"11",1,0.6069141,0.5438691,0.0181978473,0.24126027,0.3,0.15,0.55
"12",2,0.5074609,0.540424,0.0138427028,0.62602238,0.38,0.16,0.46
"13",3,0.4985938,0.5060577,0.0060886177,0.66601095,0.42,0.1,0.48
"14",4,0.4048047,0.3495772,0.0135988945,0.44099963,0.43,0.23,0.34
"15",5,0.4521875,0.3915732,0.010663616,0.07239399,0.49,0.11,0.4
"16",6,0.5788672,0.5953328,0.0137030103,0.90490888,0.31,0.16,0.53
"17",7,0.3726172,0.3113357,0.0179428868,0.4405854,0.49,0.22,0.29
"18",8,0.6185547,0.3270341,0.0606764476,0.05164155,0.3,0.28,0.42
"19",9,0.5298437,0.4175166,0.0008182239,0.85050733,0.44,0.04,0.52
"20",10,0.6427344,0.5121041,0.0278094192,0.11986212,0.31,0.13,0.56
"21",1,0.4971875,0.3842337,0.0086008324,0.5373692,0.43,0.1,0.47
"22",2,0.4912109,0.4072511,0.0287863652,0.01875352,0.37,0.21,0.42
"23",3,0.6563281,0.5465542,0.0009680942,0.72689051,0.34,0.01,0.65
"24",4,0.5094141,0.3086976,0.0400639933,0.22192089,0.26,0.39,0.35
"25",5,0.5105078,0.4620344,0.0312859707,0.17449966,0.33,0.3,0.37
"26",6,0.6538281,0.5903083,0.0189229301,0.22531176,0.3,0.1,0.6
"27",7,0.3828125,0.1981467,0.03257332,0.13733579,0.43,0.34,0.23
"28",8,0.3028125,0.2551542,0.0098024043,0.88474528,0.52,0.23,0.25
"29",9,0.5283984,0.4469837,0.0218060641,0.41122254,0.3,0.26,0.44
"30",10,0.3378516,0.3052244,0.0114105255,0.35894626,0.59,0.13,0.28
"31",1,0.3579688,0.3211705,0.014950941,0.986671082,0.34,0.4,0.26
"32",2,0.4517188,0.5677585,0.005144709,0.574586171,0.49,0.08,0.43
"33",3,0.6067187,0.4559857,0.030777173,0.588196498,0.21,0.32,0.47
"34",4,0.5855078,0.2624496,0.058312293,0.006750116,0.32,0.31,0.37
"35",5,0.2948047,0.1849143,0.013569629,0.601409434,0.54,0.25,0.21
"36",6,0.6280078,0.5811011,0.014307468,0.577096369,0.26,0.15,0.59
"37",7,0.6303516,0.6260241,0.015507582,0.675099147,0.25,0.17,0.58
"38",8,0.4277344,0.3745054,0.011993093,0.512477846,0.48,0.15,0.37
"39",9,0.4371484,0.3962163,0.014601034,0.711792737,0.4,0.22,0.38
"40",10,0.3369531,0.3063278,0.013253616,0.637634471,0.52,0.22,0.26
"41",1,0.683125,0.6522017,0.047158441,0.12771448,0.16,0.28,0.56
"42",2,0.6004687,0.3713413,0.028820669,0.15499863,0.19,0.33,0.48
"43",3,0.4974609,0.2808143,0.029290176,0.0104491,0.42,0.21,0.37
"44",4,0.5164062,0.3389228,0.019854138,0.88536891,0.23,0.35,0.42
"45",5,0.5093359,0.3534637,0.037943246,0.02092799,0.34,0.34,0.32
"46",6,0.4301953,0.3605421,0.002846502,0.67774462,0.56,0.02,0.42
"47",7,0.4396875,0.2604226,0.035906292,0.07969578,0.36,0.33,0.31
"48",8,0.4764062,0.2846905,0.021784333,0.81032899,0.3,0.32,0.38
"49",9,0.3388672,0.2500198,0.014899153,0.06959527,0.58,0.15,0.27
"50",10,0.4714844,0.4393424,0.018084652,0.44890983,0.42,0.17,0.41
"51",1,0.3299609,0.2475148,0.01665587,0.130518436,0.52,0.24,0.24
"52",2,0.5139453,0.5108466,0.003713159,0.533669303,0.43,0.07,0.5
"53",3,0.6730078,0.4674298,0.045472681,0.061409479,0.19,0.3,0.51
"54",4,0.4355859,0.3463538,0.021959126,0.179285484,0.42,0.25,0.33
"55",5,0.6512891,0.585976,0.04127573,0.235857212,0.18,0.3,0.52
"56",6,0.5911328,0.4793701,0.030700521,0.714505757,0.22,0.3,0.48
"57",7,0.4301953,0.3629437,0.002649939,0.281750654,0.55,0.03,0.42
"58",8,0.4967578,0.3767027,0.030319332,0.003745771,0.36,0.25,0.39
"59",9,0.6006641,0.4704302,0.023574963,0.521159136,0.26,0.23,0.51
"60",10,0.4997656,0.2862952,0.032629628,0.195773419,0.33,0.34,0.33
"61",1,0.4172656,0.3175061,0.01481821,0.18257342,0.47,0.19,0.34
"62",2,0.4210547,0.1815973,0.03760425,0.11808448,0.37,0.39,0.24
"63",3,0.6128516,0.6186925,0.01179551,0.34577849,0.32,0.11,0.57
"64",4,0.4431641,0.5456956,0.000459617,0.53609674,0.56,0,0.44
"65",5,0.5513281,0.5138199,0.003453626,0.04331236,0.45,0.01,0.54
"66",6,0.4500391,0.4398952,1.478847e-05,0.46804224,0.55,0,0.45
"67",7,0.4451953,0.3750691,0.01641287,0.13238435,0.46,0.16,0.38
"68",8,0.4813281,0.311502,0.04197223,0.07288677,0.32,0.39,0.29
"69",9,0.490625,0.4582232,0.0001935465,0.75113898,0.51,0,0.49
"70",10,0.3766797,0.3125936,0.01328749,0.94815507,0.38,0.33,0.29
"71",1,0.5737109,0.4316497,0.019692363,0.7107246,0.29,0.22,0.49
