"","V1","V2","V3","V4","V5","V6","V7"
"1",0.2265625,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"2",0.671875,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"3",0.328125,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"4",0.671875,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"5",0.703125,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"6",1,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"7",0.58203125,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"8",0.2578125,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"9",1,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"10",1,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"11",1,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"12",0.30859375,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"13",1,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"14",1,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"15",0.25,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"16",0.453125,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"17",0.22265625,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"18",0.23828125,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"19",0.234375,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"20",0.2421875,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"21",0.58203125,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"22",0.35546875,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"23",0.359375,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"24",0.19921875,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
"25",0.23828125,0.142774195003254,0.0548966561626315,0,0.377,0.383,0.24
